"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"G00015","(GlcNAc)4 (Man)3 (Asn)1","METPA1482",NA,NA,"G00015",NA,NA,"1"
"CC0002","Pyrimidine","HMDB0003361","NA","NA","NA","NA","NA","0"
"C00262","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"G00008","(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1","METPA1476",NA,NA,"G00008",NA,NA,"1"
"C03021","Protein asparagine","METPA0349",NA,NA,"C03021",NA,NA,"1"
"C00559","Deoxyadenosine","HMDB0000101","13730","17256","C00559","3382","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1","1"
"C00458","dCTP","HMDB0000998","65091","16311","C00458","5929","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1","1"
"C00128","Cytidine 5'-monophosphate-N-acetylneuraminic acid","HMDB0001176","448209","16556","C00128","6057","[H][C@]1(O[C@](C[C@H](O)[C@H]1NC(C)=O)(OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O)C(O)=O)[C@H](O)[C@H](O)CO","1"
"C02218","2-Aminoacrylic acid","HMDB0003609","123991","17123","C02218",NA,"NC(=C)C(O)=O","1"
"G13088","(Gal)1 (GlcA)1 (GlcNAc)1 (Man)1 (S)1 (Ser/Thr)1",NA,NA,NA,"G13088",NA,NA,"1"
"C00182","Glycogen","HMDB0000757","439177","28087","C00182","160","OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"C00167","Uridine diphosphate glucuronic acid","HMDB0000935","17473","17200","C00167","5884","O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O","1"
"C00100","Propionyl-CoA","HMDB0001275","92753","15539","C00100","6130","CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","1"
"G00019","(GlcNAc)5 (Man)3 (Asn)1","METPA1486",NA,NA,"G00019",NA,NA,"1"
"C00158","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"C00705","dCDP","HMDB0001245","150855","28846","C00705","6105","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1","1"
"C00401","Chondroitin","HMDB0000629","14389182","16137","C00401","5602","[H]O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)[C@H]1NC(C)=O","1"
"C00750","Spermine","HMDB0001256","1103","15746","C00750","255","NCCCNCCCCNCCCN","1"
"C00025","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"C00105","Uridine 5'-monophosphate","HMDB0000288","6030","16695","C00105",NA,"O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C00187","Cholesterol","HMDB0000067","5997","16113","C00187","163","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"C00036","Oxalacetic acid","HMDB0000223","970","30744","C00036","123","OC(=O)CC(=O)C(O)=O","1"
"G00157","(Gal)2 (GlcA)1 (Xyl)1 (Ser)1","METPA1591",NA,NA,"G00157",NA,NA,"1"
"C00334","gamma-Aminobutyric acid","HMDB0000112","119","16865","C00334",NA,"NCCCC(O)=O","1"
"G13085","(Gal)1 (GlcNAc)1 (Man)1 (Neu5Ac)1 (Ser/Thr)1",NA,NA,NA,"G13085",NA,NA,"1"
"C00049","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"C00106","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"C00475","Cytidine","HMDB0000089","6175","17562","C00475","3376","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"C00526","Deoxyuridine","HMDB0000012","13712","16450","C00526","5086","OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","1"
"C01490","Dermatan","HMDB0000632",NA,NA,"C01490",NA,NA,"1"
"C00364","5-Thymidylic acid","HMDB0001227","9700","17013","C00364","6092","CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O","1"
"C00118","Glyceraldehyde 3-phosphate","HMDB0001112","439168","29052","C00118","3294","O[C@H](COP(O)(O)=O)C=O","1"
"C03090","5-Phosphoribosylamine","HMDB0001128","439905","37737","C03090","6023","N[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C00399","Ubiquinone-1","HMDB0002012","4462","46234","C00399","6435","COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O","1"
"C00022","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(O)=O","1"
"C00122","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"C00026","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"C00197","D-Glycerate 3-phosphate","HMDB0060180","439183","17794","C00197",NA,"O[C@H](COP(O)(O)=O)C(O)=O","1"
"CC0003","Steroid_hormone","NA","NA","NA","NA","NA","NA","0"
"C00239","dCMP","HMDB0001202","13945","15918","C00239","6078","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","1"
"C00147","Adenine","HMDB0000034","190","16708","C00147","85","NC1=C2NC=NC2=NC=N1","1"
"C00091","Succinyl-CoA","HMDB0001022","92133","15380","C00091","5951","CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O","1"
"C00134","Putrescine","HMDB0001414","1045","17148","C00134","3226","NCCCCN","1"
"C00062","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"C00242","Guanine","HMDB0000132","764","16235","C00242","315","NC1=NC(=O)C2=C(N1)N=CN2","1"
"G13084","(Gal)1 (GlcNAc)1 (Man)1 (Ser/Thr)1",NA,NA,NA,"G13084",NA,NA,"1"
"C00119","Phosphoribosyl pyrophosphate","HMDB0000280","7339","17111","C00119","5274","O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O","1"
"C00407","Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@H](N)C(O)=O","1"
"C00327","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"C00048","Glyoxylic acid","HMDB0000119","760","16891","C00048","3213","OC(=O)C=O","1"
"C00077","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"C00178","Thymine","HMDB0000262","1135","17821","C00178","290","CC1=CNC(=O)NC1=O","1"
"C03406","Argininosuccinic acid","HMDB0000052","16950","15682","C03406","5115","N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O","1"
"C00144","Guanosine monophosphate","HMDB0001397","6804","17345","C00144","6216","NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1","1"
"C00188","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"C00024","Acetyl-CoA","HMDB0001206","444493","15351","C00024","6082","CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","1"
"C00051","Glutathione","HMDB0000125","124886","16856","C00051","44","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O","1"
"C00103","Glucose 1-phosphate","HMDB0001586","65533","29042","C00103","6331","OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"C00099","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"C00075","Uridine triphosphate","HMDB0000285","6133","15713","C00075","5277","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C00065","Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"C03862","Dolichyl phosphate D-mannose","HMDB0000994","3246168","1220424","C03862","5925","OC[C@H]1O[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"C00114","Choline","HMDB0000097","305","15354","C00114","56","C[N+](C)(C)CCO","1"
"C00123","Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"C00043","Uridine diphosphate-N-acetylglucosamine","HMDB0000290","445675","16264","C00043","5281","CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"C00149","Malic acid","HMDB0000156","222656","30797","C00149",NA,"O[C@@H](CC(O)=O)C(O)=O","1"
"C00267","alpha-D-Glucose","HMDB0000122","79025","17925","C00267","6897","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"C00112","CDP","HMDB0001546","6132","17239","C00112","6313","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"G00009","(Glc)3 (GlcNAc)2 (Man)9 (Asn)1","METPA1477",NA,NA,"G00009",NA,NA,"1"
"C00366","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"C00008","ADP","HMDB0001341","6022","16761","C00008","6175","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C01103","Orotidylic acid","HMDB0000218","160617","15842","C01103","5228","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O","1"
"C00135","Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"C00064","Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"C00130","Inosinic acid","HMDB0000175","8582","17202","C00130","5196","O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O","1"
"C00148","Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"C00385","Xanthine","HMDB0000292","1188","17712","C00385","82","O=C1NC2=C(NC=N2)C(=O)N1","1"
"C00518","Hyaluronic acid","HMDB0002061","53477741","150712","C00518",NA,"[H]O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2C(O)=O)[C@@H]1NC(C)=O","1"
"C00353","Geranylgeranyl-PP","HMDB0004486","447277","48861","C00353",NA,"CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O","1"
"C04677","AICAR","HMDB0001517","65110","18406","C04677","6294","NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C00655","Xanthylic acid","HMDB0001554","73323","15652","C00655",NA,"O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O","1"
"G13100","(Gal)1 (GlcNAc)1 (LFuc)1 (Man)1 (Ser/Thr)1",NA,NA,NA,"G13100",NA,NA,"1"
"C03461","2-trans,6-trans-Farnesal","HMDB0060356","5280598","15894","C03461",NA,"CC(C)=CCC\C(C)=C\CC\C(C)=C\C=O","1"
"C00042","Succinic acid","HMDB0000254","1110","15741","C00042","114","OC(=O)CCC(O)=O","1"
"C02528","Chenodeoxycholic acid","HMDB0000518","10133","16755","C02528","207","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O","1"
"C00183","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"C00097","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","N[C@@H](CS)C(O)=O","1"
"C00000","same-product","NA","NA","NA","NA","NA","NA","0"
"CC0001","Fatty Acid","NA","NA","NA","NA","NA","NA","0"
"C02189","[Protein]-L-serine",NA,"5260","8572","C02189",NA,NA,"1"
"C00300","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"C00047","Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"G00022","(GlcNAc)7 (Man)3 (Asn)1","METPA1489",NA,NA,"G00022",NA,NA,"1"
"C00256","D-Lactic acid","HMDB0001311","61503","42111","C00256","6150","C[C@@H](O)C(O)=O","1"
"C00082","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"C00037","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"C00459","Thymidine 5'-triphosphate","HMDB0001342","64968","18077","C00459",NA,"CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O","1"
"G00164","(Gal)2 (GlcA)2 (GlcNAc)2 (Xyl)1 (Ser)1","METPA1597",NA,NA,"G00164",NA,NA,"1"
"C00078","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"C00079","Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"C00668","alpha-D-Glucose 6-phosphate",HMDB0304534,NA,NA,"C00668",NA,NA,"1"
"C00073","Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"C00881","Deoxycytidine","HMDB0000014","13711","15698","C00881","3367","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","1"
"C00365","dUMP","HMDB0001409","65063","17622","C00365","6225","O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C00152","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"C00020","Adenosine monophosphate","HMDB0000045","6083","16027","C00020","5111","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"G00018","DS 3","METPA1485",NA,NA,"G00018",NA,NA,"1"
"C00110","Dolichol phosphate","HMDB0006353","5280322",NA,"C00110",NA,"CC(CCOP(O)(O)=O)CC\C=C(/C)CCC=C(C)C","1"
"C00448","Farnesyl pyrophosphate","HMDB0000961","445713","17407","C00448","403","CC(C)=CCC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O","1"
