ligand	receptor
Lgals9	Ptprc
Lgals9	Met
Lgals9	Cd44
Lgals9	Lrp1
Lgals9	Cd47
Lgals9	Ptprk
Lgals9	Colec12
Lgals9	Havcr2
Lgals9	Mrc2
Dll1	Notch1
Dll1	Notch2
Dll1	Notch4
Dll1	Notch3
Podxl	Sell
Nrg2	Erbb2_Erbb3
Nrg2	Erbb2_Erbb4
Adgrb1	Rtn4r
Adam10	Tspan15
Adam10	Tspan12
Adam10	Met
Adam10	Il6ra
Adam10	Cd44
Adam10	Epha3
Adam10	Axl
Adam10	Notch1
Adam10	Notch2
Adam10	Nrcam
Adam10	Tspan17
Adam10	Tspan10
Adam10	Trem2
Tnfsf11	Tnfrsf11b
Tnfsf11	Lgr4
Tnfsf11	Tnfrsf11a
Ereg	Egfr_Erbb2
Ereg	Erbb2_Erbb4
Ereg	Erbb3
Adam12	Itgb1
Adam12	Itga9
Tnfsf12	Tnfrsf8
Tnfsf12	Cd163
Tnfsf12	Tnfrsf25
Tnfsf12	Tnfrsf12a
Tnfsf14	Ltbr
Tnfsf14	Tnfrsf14
Adam23	Itgb3
Adam23	Itga5
Adam23	Itga4
Adam11	Itga4
Icosl	Cd28
Icosl	Ctla4
Icosl	Icos
Sema7a	Itga1_Itgb1
Sema7a	Plxnc1
Tnfsf13	Tnfrsf11b
Tnfsf13	Tnfrsf13b
Tnfsf13	Tnfrsf1a
Tnfsf13	Fas
Tnfsf13	Sdc2
Tnfsf13	Tnfrsf17
Tnfsf13	Tnfrsf14
Nfasc	Cntn1_Cntnap1
Slitrk3	Ptprd
Slitrk3	Ptprs
Slitrk5	Ptprd
Tnfsf15	Tnfrsf25
Tgfa	Egfr_Erbb2
Tgfa	Erbb3
Tgfa	Erbb4
Tnf	Ffar2
Tnf	Tnfrsf21
Tnf	Tnfrsf1a
Tnf	Tnfrsf1b
Tnf	Fas
Tnf	Flt4
Tnf	Notch1
Tnf	Ptprs
Tnf	Sema4c
Tnf	Vsir
Tnf	Celsr2
Tnf	Icos
H2-Ea	Cd4
H2-Ea	Lag3
H2-Aa	Cd4
H2-Aa	Lag3
H2-Aa	Cd4
H2-Aa	Lag3
H2-Ab1	Cd4
H2-Ab1	Lag3
Anxa1	Egfr
Anxa1	Adra2a
Anxa1	Fpr1
Anxa1	Mtnr1a
Anxa1	Grm7
Thy1	Itgav_Itgb3
App	Tnfrsf21
App	Lrp6
App	Tspan15
App	Tspan12
App	Cd74
App	Ngfr
App	Adra2a
App	Gpc1
App	Ptger2
App	Dcc
App	Mtnr1a
App	Notch2
App	Lrp1
App	Ager
App	Lrp10
App	Ncstn
Icam1	Egfr
Icam1	Il2ra
Icam1	Muc1
Icam1	Spn
Icam1	Il2rg
Lck	Cd8a_Cd8b1
Fcer2a	Itgav_Itgb3
Fcer2a	Cr2
Itgav	Thy1
Anxa2	Tlr2
Anxa2	Robo4
Thbs1	Itgav_Itgb3
Thbs1	Itga2b_Itgb3
Thbs1	Itga3_Itgb1
Thbs1	Tnfrsf11b
Thbs1	Lrp5
Thbs1	Itga4
Thbs1	Cd36
Thbs1	Sdc1
Thbs1	Itga6
Thbs1	Lrp1
Thbs1	Cd47
Thbs1	Ptprj
Thbs1	Scarb1
Cd14	Tlr4
Cd14	Itgb1
Cd14	Itga4
Cd14	Tlr1
Cd14	Tlr9
Cd14	Tlr6
Meltf	Tfrc
Cd48	Cd2
Cd48	Cd244a
Csf1	Celsr3
Tgfb3	Acvr1b_Tgfbr2
Tgfb3	Tgfbr1_Tgfbr2
Tgfb3	Acvr1_Tgfbr1_Tgfbr2
Tgfb3	Acvr1_Tgfbr2
Tgfb3	Acvr1c_Tgfbr2
Tgfb3	Itgb3
Tgfb3	Itgb1
Tgfb3	Itgb5
Tgfb3	Itgb6
Tgfb3	Acvrl1
Tgfb3	Tgfbr3
Cd28	Cd80
Cd28	Cd86
Ace	Bdkrb2
Ace	Agtr2
Cdh1	Itga2_Itgb1
Cdh1	Itgae_Itgb7
Cdh1	Lrp5
Cdh1	Egfr
Cdh1	Igf1r
Cdh1	Ptprf
Cdh1	Cdh2
Cdh1	Ptprm
Cdh1	Klrg1
Ncam1	Ncam2
Ncam1	Fgfr1
Ncam1	Fgfr2
Ncam1	Ptprz1
Ncam1	Gfra1
Ncam1	Robo3
Ncam1	Robo1
H2-T23	Cd8b1
H2-T23	Cd8a
H2-T23	Cd8b1
H2-T23	Klrk1
H2-Ob	Cd4
Sell	Podxl
Sell	Madcam1
Pla2g2a	Itgb3
Pla2g2a	Itgb1
Pla2g2a	Itgav
Pla2g2a	Itga5
Pla2g2a	Itga4
St6gal1	Egfr
St6gal1	Cd22
Spn	Siglec1
Sele	Cd44
Sele	Glg1
Vcam1	Itga4_Itgb1
Vcam1	Itga9_Itgb1
Vcam1	Itga4_Itgb7
Cd22	Ptprc
Efna1	Ephb6
Efna1	Epha1
Efna1	Epha2
Efna1	Epha3
Efna1	Epha8
Efna1	Epha5
Efna1	Ephb1
Efna1	Epha4
Efna1	Epha7
Efna1	Epha10
Efna1	Epha6
Kitl	Kit
Kitl	Epor
Mrc1	Ptprc
Mpz	Mpzl1
H2-DMa	Cd4
Cd34	Sell
Cd34	Selp
Cd40lg	Itga2b_Itgb3
Cd40lg	Itga5_Itgb1
Cd40lg	Cd40
L1cam	Itgav_Itgb3
L1cam	Itga5_Itgb1
L1cam	Itga4_Itgb7
L1cam	Egfr
L1cam	Erbb2
L1cam	Fgfr2
L1cam	Erbb3
L1cam	Ptprz1
L1cam	Ephb2
L1cam	Cntn1
Cd80	Cd28
Cd80	Ctla4
Sdc2	Ptprj
Btc	Egfr_Erbb2
Btc	Erbb2_Erbb4
Btc	Erbb3
Cd96	Pvr
Cd96	Nectin1
Tnfsf9	Pvr
Tnfsf9	Tnfrsf9
Tnfsf9	Il13ra2
Tnfsf9	Adgrg5
Cd86	Cd28
Cd86	Ctla4
Gdf5	Acvr2a_Bmpr1b
Gdf5	Acvr2b_Bmpr1b
Gdf5	Bmpr1b_Bmpr2
Gdf5	Acvr2a_Bmpr1a
Gdf5	Acvr2b_Bmpr1a
Gdf5	Bmpr1a_Bmpr2
Gdf5	Ror2
Gdf5	Acvr1
Fasl	Tnfrsf10b
Fasl	Tnfrsf1a
Fasl	Fas
Flt3l	Flt3
Tnfsf10	Tnfrsf10b
Tnfsf10	Tnfrsf11b
Tnfsf10	Tnfrsf10b
Tnfsf10	Tnfrsf10b
Efna4	Epha1
Efna4	Epha2
Efna4	Epha3
Efna4	Epha8
Efna4	Epha5
Efna4	Epha4
Efna4	Epha7
Efna4	Epha10
Efna4	Epha6
Efnb2	Ephb6
Efnb2	Pecam1
Efnb2	Epha3
Efnb2	Ephb2
Efnb2	Grm5
Efnb2	Ephb3
Efnb2	Ephb4
Efnb2	Ephb1
Efnb2	Epha4
Efnb2	Grm1
Efnb2	Epha6
Efna5	Ephb6
Efna5	Epha1
Efna5	Epha2
Efna5	Epha3
Efna5	Epha8
Efna5	Ephb2
Efna5	Epha5
Efna5	Ephb1
Efna5	Epha4
Efna5	Epha7
Efna5	Epha10
Efna5	Epha6
Nrg3	Erbb2_Erbb4
Nrg3	Erbb3
Jam2	Itgav_Itgb1
Jam2	Itga4_Itgb1
Jam2	Itga3_Itgb1
Nrxn1	Nlgn1
Nrxn1	Nlgn2
Nrxn1	Nlgn3
Nrxn2	Nlgn1
Nrxn2	Nlgn2
Nrxn2	Nlgn3
B2m	Hfe_Tfrc
B2m	Klrd1
Jag1	Cd46
Jag1	Notch1
Jag1	Notch2
Jag1	Notch4
Jag1	Notch3
Adam17	Itgb1
Adam17	Met
Adam17	Itga5
Adam17	Il6ra
Adam17	Muc1
Adam17	Notch1
Adam17	Erbb4
Adam17	Rhbdf2
Dlk1	Notch1
Dlk1	Notch2
Dlk1	Notch4
Dlk1	Notch3
Efnb1	Ephb6
Efnb1	Erbb2
Efnb1	Ephb2
Efnb1	Ephb3
Efnb1	Ephb4
Efnb1	Ephb1
Efnb1	Epha4
Efnb1	Epha6
Cntn2	Nrp1
Cntn2	Cntn1
Cntn2	Nrcam
Nrg1	Erbb2_Erbb3
Nrg1	Erbb2_Erbb4
Nrg1	Itgav_Itgb3
Nrg1	Adgrl1
Nrg1	Egfr
Nrg1	Gpc1
Nrg1	Lsr
Nrg1	Neto2
Nrg1	Lgr4
Dsc2	Dsg3
Dsc2	Dsg4
Dsc1	Dsg3
Dsc1	Dsg4
Cntn1	Ptprz1
Cntn1	Notch1
Cntn1	Notch2
Cntn1	Nrcam
Adam9	Itgb1
Adam9	Itgav
Adam9	Itgb5
Adam9	Itga6
Adam9	Itga3
Adam15	Itgb3
Adam15	Itgb1
Adam15	Itgav
Adam15	Itga5
Adam15	Itga9
Madcam1	Itga4_Itgb7
Madcam1	Cd44
Sema5a	Met
Sema5a	Plxna3
Sema5a	Plxna1
Sema5a	Plxnb3
Alcam	Chl1
Alcam	Nrp1
Alcam	Cd6
Dsg2	Dsc1
Dsg2	Dsc3
Selplg	Siglecf
Selplg	Itgam
Selplg	Sell
Selplg	Selp
Dsc3	Dsg3
Dsc3	Dsg4
Icam4	Itgb3
Icam4	Itgb1
Icam4	Itgav
Icam4	Itga2b
Icam4	Itgam
Icam4	Itga4
Icam4	Itgal
Nectin1	Cd96
Nectin1	Nectin4
Efnb3	Ephb6
Efnb3	Ephb2
Efnb3	Ephb3
Efnb3	Ephb4
Efnb3	Ephb1
Efnb3	Epha4
Ntrk3	Ptprf
Ntrk3	Ptprd
Ntrk3	Ptprs
Mill2	Hcst_Klrk1
Mill2	Hcst_Klrk1
Tigit	Pvr
Tigit	Nectin2
Igsf11	Vsir
Col13a1	Itga10_Itgb1
Col13a1	Itga2_Itgb1
Col13a1	Itga1_Itgb1
Col13a1	Itga11_Itgb1
Cspg4	Itga3_Itgb1
Epgn	Egfr
Dlk2	Notch1
Btla	Cd79a
Btla	Cd247
Btla	Tnfrsf14
Pdpn	Clec1b
Cntn4	Ptprg
Cadm3	Nectin1
Nlgn1	Nrxn1
Nlgn1	Nrxn3
Nlgn1	Nrxn2
Sema6d	Plxna1_Trem2_Tyrobp
Sema6d	Kdr_Plxna1
Nlgn2	Nrxn1
Nlgn2	Nrxn3
Nlgn2	Nrxn2
Nrg4	Erbb2_Erbb4
Nrg4	Egfr
Nectin2	Cd96
Nectin2	Cd226
Nectin2	Tigit
Eda	Eda2r
Eda	Edar
Sema4d	Plxnb2
Sema4d	Plxnb1
Sema4d	Erbb2
Sema4d	Met
Sema4d	Plxnb3
Nectin4	Tigit
Slitrk1	Ptprd
Slitrk1	Ptprs
Adam2	Itgb1
Adam2	Itga6
Adam2	Itgb7
Adam2	Itga9
Pdcd1lg2	Pdcd1
Jam3	Itgb1
Ulbp1	Hcst_Klrk1
Ulbp1	Hcst_Klrk1
Sema4c	Plxnb2
Slitrk2	Ptprd
Slitrk2	Ptprs
Sema6a	Plxna2
Sema6a	Plxna4
Adam7	Itga4
Adam7	Itgb7
Sema4a	Nrp1_Plxna2
Sema4a	Nrp1_Plxna3
Sema4a	Nrp1_Plxna4
Sema4a	Nrp1_Plxna1
Sema4a	Plxnb2
Sema4a	Plxnb1
Sema4a	Plxnb3
Sema4a	Plxnd1
Sema6b	Plxna2
Sema6b	Plxna4
Slitrk6	Ptprs
Nrxn3	Nlgn1
Nrxn3	Nlgn2
Nrxn3	Nlgn3
Sema4b	Dcbld2
Nectin3	Pvr
Nectin3	Nectin1
Nectin3	Tigit
Nectin3	Nectin2
Dll4	Notch1
Dll4	Notch2
Dll4	Notch4
Dll4	Notch3
Pdgfc	Pdgfrb
Pdgfc	Pdgfra
Pdgfc	Flt1
Pdgfc	Flt4
Pdgfc	Kdr
Lrrc4b	Ptprf
Lrrc4b	Ptprd
Lrrc4b	Ptprs
Sema4g	Plxnb2
Dll3	Notch1
Dll3	Notch2
Dll3	Notch4
Dll3	Notch3
Podxl2	Sell
Nlgn3	Nrxn1
Nlgn3	Nrxn3
Nlgn3	Nrxn2
Il1rapl1	Ptprf
Il1rapl1	Ptprd
Il1rapl1	Ptprs
Cd274	Cd80
Cd274	Pdcd1
Clec1b	Pdpn
Sema5b	Plxna3
Sema5b	Plxna1
Cklf	Lrp6
Cklf	Ccr4
Kl	Fgfr1
Adam29	Itga4
Adam28	Itga4
Icam5	Itgal
Tnfsf18	Tnfrsf18
Jag2	Notch1
Jag2	Notch2
Jag2	Notch4
Jag2	Notch3
Tnfsf13b	Tnfrsf13b
Tnfsf13b	Tfrc
Tnfsf13b	Cd40
Tnfsf13b	Tnfrsf17
Tnfsf13b	Tnfrsf13c
Col6a6	Itga10_Itgb1
Col6a6	Itga2_Itgb1
Col6a6	Itga3_Itgb1
Col6a6	Itga1_Itgb1
Col6a6	Itga9_Itgb1
Col6a6	Itga11_Itgb1
Col6a6	Itgav_Itgb8
Col6a6	Cd44
Col6a6	Sdc1
Col6a6	Gp6
Col6a5	Itga10_Itgb1
Col6a5	Itga2_Itgb1
Col6a5	Itga3_Itgb1
Col6a5	Itga1_Itgb1
Col6a5	Itga9_Itgb1
Col6a5	Itga11_Itgb1
Col6a5	Itgav_Itgb8
Col6a5	Cd44
Col6a5	Sdc1
Col6a5	Gp6
Fras1_Frem1_Npnt	Itga8_Itgb1
Fras1_Frem2_Npnt	Itga8_Itgb1
Agrn	Musk
Agrn	Lrp4
Agrn	Itgb1
Agrn	Lrp2
Agrn	Lrp1
Agrn	Dag1
Lama5	Itga2_Itgb1
Lama5	Itga6_Itgb1
Lama5	Itga3_Itgb1
Lama5	Itga7_Itgb1
Lama5	Itga9_Itgb1
Lama5	Itgav_Itgb8
Lama5	Itga6_Itgb4
Lama5	Cd44
Lama5	Sdc1
Lama5	Bcam
Lama5	Dag1
Chad	Itga2_Itgb1
Col1a1	Itga10_Itgb1
Col1a1	Itga2_Itgb1
Col1a1	Itga3_Itgb1
Col1a1	Itga1_Itgb1
Col1a1	Itga9_Itgb1
Col1a1	Itga11_Itgb1
Col1a1	Itgav_Itgb8
Col1a1	Itga5
Col1a1	Cd44
Col1a1	Cd36
Col1a1	Sdc1
Col1a1	Flt4
Col1a1	Ddr1
Col1a1	Ddr2
Col1a1	Gp6
Col1a1	Cd93
Col2a1	Itga10_Itgb1
Col2a1	Itga2_Itgb1
Col2a1	Itga3_Itgb1
Col2a1	Itga1_Itgb1
Col2a1	Itga9_Itgb1
Col2a1	Itga11_Itgb1
Col2a1	Itgav_Itgb8
Col2a1	Tnfrsf10b
Col2a1	Itga2b
Col2a1	Cd44
Col2a1	Sdc1
Col2a1	Ddr1
Col2a1	Gp6
Col4a1	Itga10_Itgb1
Col4a1	Itga2_Itgb1
Col4a1	Itga3_Itgb1
Col4a1	Itga1_Itgb1
Col4a1	Itga9_Itgb1
Col4a1	Itga11_Itgb1
Col4a1	Itgav_Itgb8
Col4a1	Cd44
Col4a1	Sdc1
Col4a1	Cd47
Col4a1	Gp6
Col4a1	Cd93
Fn1	Itgav_Itgb3
Fn1	Itga2b_Itgb3
Fn1	Itgav_Itgb1
Fn1	Itga5_Itgb1
Fn1	Itga4_Itgb1
Fn1	Itga3_Itgb1
Fn1	Itga8_Itgb1
Fn1	Itgav_Itgb6
Fn1	Itgav_Itgb8
Fn1	Itga4_Itgb7
Fn1	Tnfrsf11b
Fn1	Cd79a
Fn1	Cd44
Fn1	Tshr
Fn1	Itga2
Fn1	Sdc1
Fn1	C5ar1
Fn1	Itga6
Fn1	Sdc2
Fn1	Flt4
Fn1	Plaur
Fn1	Itga9
Fn1	Il17rc
Fn1	Robo4
Vtn	Itgav_Itgb3
Vtn	Itga2b_Itgb3
Vtn	Itgav_Itgb1
Vtn	Itga8_Itgb1
Vtn	Itgav_Itgb5
Vtn	Itgav_Itgb8
Vtn	Tnfrsf11b
Vtn	Itga5
Vtn	Pvr
Vtn	Itgb6
Vtn	Itga3
Vtn	Kdr
Vtn	Plaur
Vtn	Cd47
Vwf	Itgav_Itgb3
Vwf	Itga2b_Itgb3
Vwf	Gp1ba_Gp1bb
Vwf	Tnfrsf11b
Vwf	Selp
Vwf	Lrp1
Vwf	Scara5
Vwf	Stab2
Lamb1	Itga2_Itgb1
Lamb1	Itga6_Itgb1
Lamb1	Itga3_Itgb1
Lamb1	Itga7_Itgb1
Lamb1	Itga9_Itgb1
Lamb1	Itgav_Itgb8
Lamb1	Itga6_Itgb4
Lamb1	Cd44
Lamb1	Itga1
Lamb1	Dag1
Col1a2	Itga10_Itgb1
Col1a2	Itga2_Itgb1
Col1a2	Itga3_Itgb1
Col1a2	Itga1_Itgb1
Col1a2	Itga9_Itgb1
Col1a2	Itga11_Itgb1
Col1a2	Itgav_Itgb8
Col1a2	Itgb3
Col1a2	Itga2b
Col1a2	Cd44
Col1a2	Cd36
Col1a2	Sdc1
Col1a2	Flt4
Col1a2	Gp6
Col1a2	Cd93
Col4a2	Itga10_Itgb1
Col4a2	Itga2_Itgb1
Col4a2	Itga3_Itgb1
Col4a2	Itga1_Itgb1
Col4a2	Itga9_Itgb1
Col4a2	Itga11_Itgb1
Col4a2	Itgav_Itgb8
Col4a2	Itgb3
Col4a2	Cd44
Col4a2	Itgb5
Col4a2	Sdc1
Col4a2	Gp6
Col4a2	Cd93
Lamc1	Itga2_Itgb1
Lamc1	Itga6_Itgb1
Lamc1	Itga3_Itgb1
Lamc1	Itga7_Itgb1
Lamc1	Itga9_Itgb1
Lamc1	Itgav_Itgb8
Lamc1	Itga6_Itgb4
Lamc1	Cd44
Lamc1	Itga1
Lamc1	Dag1
Col6a1	Itga10_Itgb1
Col6a1	Itga2_Itgb1
Col6a1	Itga3_Itgb1
Col6a1	Itga1_Itgb1
Col6a1	Itga9_Itgb1
Col6a1	Itga11_Itgb1
Col6a1	Itgav_Itgb8
Col6a1	Cd44
Col6a1	Sdc1
Col6a1	Itga6
Col6a1	Gp6
Col6a2	Itga10_Itgb1
Col6a2	Itga2_Itgb1
Col6a2	Itga3_Itgb1
Col6a2	Itga1_Itgb1
Col6a2	Itga9_Itgb1
Col6a2	Itga11_Itgb1
Col6a2	Itgav_Itgb8
Col6a2	Cd44
Col6a2	Sdc1
Col6a2	Gp6
Col6a3	Itga10_Itgb1
Col6a3	Itga2_Itgb1
Col6a3	Itga3_Itgb1
Col6a3	Itga1_Itgb1
Col6a3	Itga9_Itgb1
Col6a3	Itga11_Itgb1
Col6a3	Itgav_Itgb8
Col6a3	Cd44
Col6a3	Sdc1
Col6a3	Gp6
Col9a1	Itga10_Itgb1
Col9a1	Itga2_Itgb1
Col9a1	Itga3_Itgb1
Col9a1	Itga1_Itgb1
Col9a1	Itga9_Itgb1
Col9a1	Itga11_Itgb1
Col9a1	Itgav_Itgb8
Col9a1	Cd44
Col9a1	Sdc1
Col9a1	Gp6
Ibsp	Itgav_Itgb3
Ibsp	Itgav_Itgb5
Tnxb	Itgav_Itgb3
Tnxb	Itga2b_Itgb3
Tnxb	Itga8_Itgb1
Tnxb	Itga9_Itgb1
Tnxb	Itgav_Itgb6
Tnxb	Sdc1
Lama2	Itga2_Itgb1
Lama2	Itga6_Itgb1
Lama2	Itga3_Itgb1
Lama2	Itga7_Itgb1
Lama2	Itga9_Itgb1
Lama2	Itgav_Itgb8
Lama2	Itga6_Itgb4
Lama2	Rpsa
Lama2	Cd44
Lama2	Itga1
Lama2	Dag1
Tnc	Itgav_Itgb3
Tnc	Itga2b_Itgb3
Tnc	Itga8_Itgb1
Tnc	Itga9_Itgb1
Tnc	Itgav_Itgb6
Tnc	Egfr
Tnc	Itga5
Tnc	Itga2
Tnc	Sdc1
Tnc	Ptprb
Tnc	Ptprz1
Tnc	Cntn1
Tnc	Itga7
Lama1	Itga2_Itgb1
Lama1	Itga6_Itgb1
Lama1	Itga3_Itgb1
Lama1	Itga7_Itgb1
Lama1	Itga9_Itgb1
Lama1	Itgav_Itgb8
Lama1	Itga6_Itgb4
Lama1	Rpsa
Lama1	Cd44
Lama1	Sdc2
Lama1	Gpc1
Lama1	Itga1
Lama1	Dag1
Col4a5	Itga10_Itgb1
Col4a5	Itga2_Itgb1
Col4a5	Itga3_Itgb1
Col4a5	Itga1_Itgb1
Col4a5	Itga9_Itgb1
Col4a5	Itga11_Itgb1
Col4a5	Itgav_Itgb8
Col4a5	Cd44
Col4a5	Sdc1
Col4a5	Cd47
Col4a5	Gp6
Col4a5	Cd93
Thbs2	Itgav_Itgb3
Thbs2	Itga3_Itgb1
Thbs2	Itga4
Thbs2	Cd36
Thbs2	Sdc1
Thbs2	Itga6
Thbs2	Cd47
Thbs2	Notch4
Thbs2	Notch3
Thbs4	Itgav_Itgb3
Thbs4	Itga3_Itgb1
Thbs4	Cd36
Thbs4	Sdc1
Thbs4	Cd47
Comp	Itgav_Itgb3
Comp	Itga3_Itgb1
Comp	Itga5
Comp	Cd36
Comp	Sdc1
Comp	Cd47
Col4a4	Itga10_Itgb1
Col4a4	Itga2_Itgb1
Col4a4	Itga3_Itgb1
Col4a4	Itga1_Itgb1
Col4a4	Itga9_Itgb1
Col4a4	Itga11_Itgb1
Col4a4	Itgav_Itgb8
Col4a4	Itgb3
Col4a4	Cd44
Col4a4	Sdc1
Col4a4	Cd47
Col4a4	Gp6
Col4a4	Cd93
Lamb2	Itga2_Itgb1
Lamb2	Itga6_Itgb1
Lamb2	Itga3_Itgb1
Lamb2	Itga7_Itgb1
Lamb2	Itga9_Itgb1
Lamb2	Itgav_Itgb8
Lamb2	Itga6_Itgb4
Lamb2	Rpsa
Lamb2	Cd44
Lamb2	Dag1
Reln	Itga3_Itgb1
Reln	Vldlr
Reln	Lrp8
Hspg2	Itgb1
Hspg2	Fgfr1
Hspg2	Itga2
Hspg2	Sdc1
Hspg2	Lrp2
Hspg2	Lrp1
Hspg2	Ptprs
Hspg2	Dag1
Col4a3	Itga10_Itgb1
Col4a3	Itga2_Itgb1
Col4a3	Itga3_Itgb1
Col4a3	Itga1_Itgb1
Col4a3	Itga9_Itgb1
Col4a3	Itga11_Itgb1
Col4a3	Itgav_Itgb8
Col4a3	Itgb3
Col4a3	Cd44
Col4a3	Sdc1
Col4a3	Cd47
Col4a3	Gp6
Col4a3	Cd93
Dmp1	Itgav_Itgb3
Lamb3	Itga2_Itgb1
Lamb3	Itga6_Itgb1
Lamb3	Itga3_Itgb1
Lamb3	Itga7_Itgb1
Lamb3	Itga9_Itgb1
Lamb3	Itgav_Itgb8
Lamb3	Itga6_Itgb4
Lamb3	Cd44
Lamb3	Dag1
Lamc2	Itga2_Itgb1
Lamc2	Itga6_Itgb1
Lamc2	Itga3_Itgb1
Lamc2	Itga7_Itgb1
Lamc2	Itga9_Itgb1
Lamc2	Itgav_Itgb8
Lamc2	Itga6_Itgb4
Lamc2	Cd44
Lamc2	Dag1
Col4a6	Itga10_Itgb1
Col4a6	Itga2_Itgb1
Col4a6	Itga3_Itgb1
Col4a6	Itga1_Itgb1
Col4a6	Itga9_Itgb1
Col4a6	Itga11_Itgb1
Col4a6	Itgav_Itgb8
Col4a6	Cd44
Col4a6	Sdc1
Col4a6	Cd47
Col4a6	Gp6
Col4a6	Cd93
Col9a3	Itga10_Itgb1
Col9a3	Itga2_Itgb1
Col9a3	Itga3_Itgb1
Col9a3	Itga1_Itgb1
Col9a3	Itga9_Itgb1
Col9a3	Itga11_Itgb1
Col9a3	Itgav_Itgb8
Col9a3	Cd44
Col9a3	Sdc1
Col9a3	Gp6
Col9a2	Itga10_Itgb1
Col9a2	Itga2_Itgb1
Col9a2	Itga3_Itgb1
Col9a2	Itga1_Itgb1
Col9a2	Itga9_Itgb1
Col9a2	Itga11_Itgb1
Col9a2	Itgav_Itgb8
Col9a2	Cd44
Col9a2	Sdc1
Col9a2	Gp6
Lama4	Itga2_Itgb1
Lama4	Itga6_Itgb1
Lama4	Itga3_Itgb1
Lama4	Itga7_Itgb1
Lama4	Itga9_Itgb1
Lama4	Itgav_Itgb8
Lama4	Itga6_Itgb4
Lama4	Cd44
Lama4	Dag1
Lama3	Itga2_Itgb1
Lama3	Itga6_Itgb1
Lama3	Itga3_Itgb1
Lama3	Itga7_Itgb1
Lama3	Itga9_Itgb1
Lama3	Itgav_Itgb8
Lama3	Itga6_Itgb4
Lama3	Cd44
Lama3	Sdc2
Lama3	Dag1
Tnr	Itgav_Itgb3
Tnr	Itga2b_Itgb3
Tnr	Itga8_Itgb1
Tnr	Itga9_Itgb1
Tnr	Itgav_Itgb6
Tnr	Sdc1
Dspp	Itgav_Itgb1
Dspp	Itgav_Itgb6
Tnn	Itgav_Itgb3
Tnn	Itga2b_Itgb3
Tnn	Itga8_Itgb1
Tnn	Itga9_Itgb1
