ligand	receptor
Ptn	Ptprb
Ptn	Ptprz1
Ptn	Sdc2
Ptn	Ptprs
Ptn	Alk
Mdk	Itga4_Itgb1
Mdk	Itga6_Itgb1
Mdk	Tspan1
Mdk	Sdc3
Mdk	Sdc1
Mdk	Ptprz1
Mdk	Sdc2
Mdk	Lrp2
Mdk	Notch2
Mdk	Lrp1
Mdk	Alk
Zp3	Egfr
Zp3	Mertk
Fgf7	Nrp1
Fgf7	Fgfr1
Fgf7	Fgfr2
Fgf7	Fgfr4
Fgf7	Fgfr3
Bmp5	Acvr2a_Bmpr1b
Bmp5	Acvr2b_Bmpr1b
Bmp5	Bmpr1b_Bmpr2
Bmp5	Acvr2a_Bmpr1a
Bmp5	Acvr1_Acvr2a
Bmp5	Acvr2b_Bmpr1a
Bmp5	Bmpr1a_Bmpr2
Bmp5	Acvr1_Acvr2b
Bmp5	Acvr1_Bmpr2
Bmp6	Acvr2a_Bmpr1b
Bmp6	Acvr2b_Bmpr1b
Bmp6	Bmpr1b_Bmpr2
Bmp6	Acvr2a_Bmpr1a
Bmp6	Acvr1_Acvr2a
Bmp6	Acvr2b_Bmpr1a
Bmp6	Bmpr1a_Bmpr2
Bmp6	Acvr1_Acvr2b
Bmp6	Acvr1_Bmpr2
Il10	Il10ra_Il10rb
Ccl1	Ccr8
Ccl1	Ackr1
Ccl1	Ackr4
Fgfr4	Tnfrsf10b
Fgfr4	Epha4
Fgfr4	Ptprr
Gal	Galr2
Gal	Galr3
Gal	Adra2a
Gal	Galr1
Gal	Mtnr1a
Gal	Grm7
Gal	Gpr151
Fgfr3	Epha4
Fbln1	Itgb1
Bdnf	Ngfr
Bdnf	Drd4
Bdnf	Ntrk2
Bdnf	Gpr152
Nppc	Npr1
Nppc	Npr3
Nppc	Npr2
Col8a2	Itga10_Itgb1
Col8a2	Itga2_Itgb1
Col8a2	Itga1_Itgb1
Col8a2	Itga11_Itgb1
Azgp1	Itgav
S100a4	Egfr
S100a4	Erbb2
S100a4	Ccr5
Mst1	Mst1r
Calr	Itgav
Calr	Itga2b
Calr	Tshr
Calr	Itga3
Calr	Mpl
Calr	Mtnr1a
Calr	Lrp1
Calr	Scarf1
Cfp	Ncr1
Grn	Egfr
Grn	Ntrk1
Grn	Tnfrsf1a
Grn	Tnfrsf1b
Ccn2	Lrp6
Ccn2	Egfr
Ccn2	Ntrk1
Ccn2	Itga5
Ccn2	Itgam
Ccn2	Igf2r
Ccn2	Fgfr2
Ccn2	Lrp1
Ccn2	Erbb4
Il12a	Cd28
Nts	Ntsr2
Nts	Ngfr
Nts	Ntsr1
Fgf9	Fgfr1
Fgf9	Fgfr2
Fgf9	Fgfr4
Fgf9	Fgfr3
Ntf5	Ntrk1
Ntf5	Ngfr
Ntf5	Ntrk2
Il13	Il13_Il13ra1_Il4ra
Il13	Il13ra1_Il4ra
Il13	Il13ra2_Il4ra
Il13	Il2rg
Il13	Tmem219
Sftpd	Tlr4
Sftpd	Lair1
Adm	Gpr182
Adm	Ramp1
Adm	Ramp2
Adm	Ramp3
Adm	Adrb2
Adm	Adrb3
Adm	Tshr
Adm	Vipr1
Adm	Adcyap1r1
Adm	Pth1r
Adm	Calcrl
Adm	Gpr20
Adm	Gpr84
Serpinf1	Plxdc2
Snca	Lag3
Col15a1	Itga10_Itgb1
Col15a1	Itga2_Itgb1
Col15a1	Itga1_Itgb1
Col15a1	Itga11_Itgb1
Gdnf	Gfra2_Ret
Gdnf	Gfra1_Ret
Gdnf	Ednrb
Thpo	Mpl
Il15	Il15ra_Il2rb_Il2rg
Il15	Il2ra
Lep	Lepr
Lep	Lrp2
Wnt5a	Fzd9
Wnt5a	Fzd6
Wnt5a	Fzd7
Wnt5a	Lrp5
Wnt5a	Lrp6
Wnt5a	Ldlr
Wnt5a	Adrb2
Wnt5a	Ryk
Wnt5a	Mcam
Wnt5a	Lrp2
Wnt5a	Ror1
Wnt5a	Ror2
Wnt5a	Ptk7
Wnt5a	Fzd5
Wnt5a	Fzd2
Wnt5a	Ptprk
Wnt5a	Epha7
Wnt5a	Fzd8
Wnt5a	Antxr1
Wnt5a	Fzd3
Wnt5a	Fzd4
Wnt5a	Fzd10
Cxcl5	Adra2a
Cxcl5	Cxcr2
Cxcl5	Mtnr1a
Cxcl5	Grm7
Cxcl5	Ackr1
Xcl1	Xcr1
Xcl1	Adgrv1
Cxcl12	Cd4
Cxcl12	Itgb3
Cxcl12	Itgb1
Cxcl12	Itgav
Cxcl12	Itga5
Cxcl12	Itga4
Cxcl12	Ackr3
Cxcl12	Avpr1a
Cxcl12	Mtnr1a
Cxcl12	Cxcr3
Cxcl12	Ccr4
Cxcl12	Cxcr4
Cxcl12	Grm7
Nmu	Adra2a
Nmu	Mtnr1a
Nmu	Grm7
Nmu	Nmur2
Nmu	Nmur1
Ccn3	Notch1
Ccn3	Plxna1
Pgf	Flt1_Kdr
Pgf	Nrp1
Pgf	Nrp2
Vegfb	Flt1_Kdr
Vegfb	Nrp1
Vegfb	Adrb2
Vegfb	Ret
Vegfc	Flt4_Kdr
Vegfc	Nrp2
Vegfc	Itgb1
Vegfc	Flt1
Vegfc	Vipr2
Vegfc	Itga9
Vegfc	Lyve1
Insl3	Ramp2
Insl3	Ramp3
Insl3	Adrb2
Insl3	Adrb3
Insl3	Tshr
Insl3	Vipr1
Insl3	Adcyap1r1
Insl3	Pth1r
Insl3	Rxfp4
Insl3	Rxfp2
Insl3	Gpr20
Insl3	Rxfp1
Insl3	Gpr84
Insl3	Rxfp3
Ccl11	Ccr2
Ccl11	Cxcr3
Ccl11	Ccr3
Ccl11	Ccr5
Ccl11	Ackr1
Ccl11	Ackr4
Lum	Itgb1
Copa	Cd74
Copa	Ntrk1
Copa	Mtnr1b
Copa	P2ry6
Slurp1	Chrna3
Mfap2	Notch1
Apoc4	Vldlr
Fgf8	Fgfr1
Fgf8	Fgfr2
Fgf8	Fgfr4
Fgf8	Fgfr3
Fgf8	Fgfrl1
Ucn	Crhr1
Ucn	Crhr2
Inhbc	Acvr1b_Acvr2a
Inhbc	Acvr1c_Acvr2a
Inhbc	Acvr1b_Acvr2b
Inhbc	Acvr1c_Acvr2b
Inhbc	Acvr1
Gdf10	Acvr1b_Acvr2a
Gdf10	Acvr1b_Acvr2b
Ccl3	Ccr3
Ccl3	Ccr8
Ccl3	Ackr1
Wnt3	Fzd9_Lrp5
Wnt3	Fzd9_Lrp6
Wnt3	Fzd6_Lrp5
Wnt3	Fzd6_Lrp6
Wnt3	Fzd7_Lrp5
Wnt3	Fzd7_Lrp6
Wnt3	Fzd5_Lrp5
Wnt3	Fzd2_Lrp5
Wnt3	Fzd8_Lrp5
Wnt3	Fzd3_Lrp5
Wnt3	Fzd4_Lrp5
Wnt3	Fzd10_Lrp5
Wnt3	Fzd1_Lrp5
Wnt3	Fzd5_Lrp6
Wnt3	Fzd2_Lrp6
Wnt3	Fzd8_Lrp6
Wnt3	Fzd3_Lrp6
Wnt3	Fzd4_Lrp6
Wnt3	Fzd10_Lrp6
Wnt3	Fzd1_Lrp6
Wnt3	Ryk
Wnt3	Ror2
Wnt3a	Fzd9_Lrp5
Wnt3a	Fzd9_Lrp6
Wnt3a	Fzd6_Lrp5
Wnt3a	Fzd6_Lrp6
Wnt3a	Fzd7_Lrp5
Wnt3a	Fzd7_Lrp6
Wnt3a	Fzd5_Lrp5
Wnt3a	Fzd2_Lrp5
Wnt3a	Fzd8_Lrp5
Wnt3a	Fzd3_Lrp5
Wnt3a	Fzd4_Lrp5
Wnt3a	Fzd10_Lrp5
Wnt3a	Fzd1_Lrp5
Wnt3a	Fzd5_Lrp6
Wnt3a	Fzd2_Lrp6
Wnt3a	Fzd8_Lrp6
Wnt3a	Fzd3_Lrp6
Wnt3a	Fzd4_Lrp6
Wnt3a	Fzd10_Lrp6
Wnt3a	Fzd1_Lrp6
Wnt3a	Lgr5
Wnt3a	Atp6ap2
Wnt3a	Ryk
Wnt3a	Ror1
Wnt3a	Lrp1
Wnt3a	Apcdd1
Wnt4	Fzd9_Lrp5
Wnt4	Fzd9_Lrp6
Wnt4	Fzd6_Lrp5
Wnt4	Fzd6_Lrp6
Wnt4	Fzd7_Lrp5
Wnt4	Fzd7_Lrp6
Wnt4	Fzd5_Lrp5
Wnt4	Fzd2_Lrp5
Wnt4	Fzd8_Lrp5
Wnt4	Fzd3_Lrp5
Wnt4	Fzd4_Lrp5
Wnt4	Fzd10_Lrp5
Wnt4	Fzd1_Lrp5
Wnt4	Fzd5_Lrp6
Wnt4	Fzd2_Lrp6
Wnt4	Fzd8_Lrp6
Wnt4	Fzd3_Lrp6
Wnt4	Fzd4_Lrp6
Wnt4	Fzd10_Lrp6
Wnt4	Fzd1_Lrp6
Wnt4	Notch1
Wnt4	Smo
Wnt7b	Fzd9_Lrp5
Wnt7b	Fzd9_Lrp6
Wnt7b	Fzd6_Lrp5
Wnt7b	Fzd6_Lrp6
Wnt7b	Fzd7_Lrp5
Wnt7b	Fzd7_Lrp6
Wnt7b	Fzd5_Lrp5
Wnt7b	Fzd2_Lrp5
Wnt7b	Fzd8_Lrp5
Wnt7b	Fzd3_Lrp5
Wnt7b	Fzd4_Lrp5
Wnt7b	Fzd10_Lrp5
Wnt7b	Fzd1_Lrp5
Wnt7b	Fzd5_Lrp6
Wnt7b	Fzd2_Lrp6
Wnt7b	Fzd8_Lrp6
Wnt7b	Fzd3_Lrp6
Wnt7b	Fzd4_Lrp6
Wnt7b	Fzd10_Lrp6
Wnt7b	Fzd1_Lrp6
Inhbe	Acvr1b_Acvr2a
Inhbe	Acvr1c_Acvr2a
Inhbe	Acvr1b_Acvr2b
Inhbe	Acvr1c_Acvr2b
Prok1	Prokr2
Prok1	Prokr1
Nxph1	Nrxn1
Nxph1	Nrxn3
Nxph1	Nrxn2
Fam3b	Lrp5
Defb1	Ccr6
Il2	Il2ra_Il2rb_Il2rg
Il2	Il2rb_Il2rg
Il2	Il20ra_Il20rb_Il2rg
Il2	Ngfr
Il2	Cd53
Sst	Adra2a
Sst	Sstr1
Sst	Sstr2
Sst	Sstr4
Sst	Sstr3
Sst	Sstr5
Sst	Mtnr1a
Sst	Grm7
Ostn	Npr3
Tgfb2	Acvr1b_Tgfbr2
Tgfb2	Tgfbr1_Tgfbr2
Tgfb2	Acvr1_Tgfbr1_Tgfbr2
Tgfb2	Acvr1_Tgfbr2
Tgfb2	Acvr1c_Tgfbr2
Tgfb2	Tgfbr3
Ybx1	Notch1
Cx3cl1	Itgb3
Cx3cl1	Itgav
Cx3cl1	Cx3cr1
Ccl20	Adra2a
Ccl20	Mtnr1a
Ccl20	Cxcr3
Ccl20	Ccr6
Ccl20	Grm7
Ccl20	Ackr4
Cxcl5	Adra2a
Cxcl5	Cxcr2
Cxcl5	Mtnr1a
Cxcl5	Grm7
Cxcl5	Ackr1
Prlh	Prlhr
Defb14	Ccr2
Defb14	Ccr6
Qrfp	P2ry14
Fbln2	Itgb3
Ndp	Lgr4
Ndp	Fzd4
Guca2a	Gucy2c
Tff2	Cxcr4
Col10a1	Itga10_Itgb1
Col10a1	Itga2_Itgb1
Col10a1	Itga1_Itgb1
Col10a1	Itga11_Itgb1
Col16a1	Itga10_Itgb1
Col16a1	Itga2_Itgb1
Col16a1	Itga1_Itgb1
Col16a1	Itga11_Itgb1
Cxcl9	Adra2a
Cxcl9	Mtnr1a
Cxcl9	Cxcr3
Cxcl9	Ccr3
Cxcl9	Grm7
Cxcl9	Ackr1
Tff3	Ackr3
Tff3	Cxcr4
Lgals3bp	Itgb1
Mfge8	Itgb3
Mfge8	Itgav
Mfge8	Pdgfrb
Fgl1	Egfr
Fgl1	Lag3
Efemp1	Egfr
Aimp1	Ntrk1
Il24	Il20rb_Il22ra1
Il24	Il20ra_Il20rb
Il24	Notch2
Il24	Il10rb
Sema3b	Nrp1_Plxna2
Sema3b	Nrp1_Plxna3
Sema3b	Nrp1_Plxna4
Sema3b	Nrp1_Plxna1
Sema3b	Nrp2_Plxna2
Sema3b	Nrp2_Plxna3
Sema3b	Nrp2_Plxna4
Sema3b	Nrp2_Plxna1
Il15ra	Axl
Sema3f	Nrp2_Plxna2
Sema3f	Nrp2_Plxna3
Sema3f	Nrp2_Plxna4
Sema3f	Nrp2_Plxna1
Sema3f	Nrp1
Pnoc	Adra2a
Pnoc	Oprl1
Pnoc	Mtnr1a
Pnoc	Grm7
Il16	Cd4
Il16	Ccr5
Il18	Il18r1_Il18rap
Il18	Il18_Il18r1_Il18rap
Il18	Il1rl2
Il18	Il1rapl1
Gas6	Axl
Gas6	Tyro3
Gas6	Mertk
Gh	Ghr
Gh	Prlr
Sema3a	Nrp1_Plxna2
Sema3a	Nrp1_Plxna3
Sema3a	Nrp1_Plxna4
Sema3a	Nrp1_Plxna1
Sema3a	Nrp2
Ihh	Ptch1_Smo
Ihh	Ptch2_Smo
Ihh	Cdon
Ihh	Boc
Col19a1	Itga10_Itgb1
Col19a1	Itga2_Itgb1
Col19a1	Itga1_Itgb1
Col19a1	Itga11_Itgb1
Postn	Itgav_Itgb3
Postn	Itgav_Itgb5
Postn	Ptk7
Angpt1	Itgb1
Angpt1	Itga5
Angpt1	Tie1
Angpt1	Tek
Shh	Ptch1_Smo
Shh	Ptch2_Smo
Shh	Gpc1
Shh	Gpc5
Shh	Lrp2
Shh	Cdon
Shh	Boc
Adipoq	Ffar3
Adipoq	Asgr2
Adipoq	Cnr2
Adipoq	Adipor2
Adipoq	Prokr2
Adipoq	Gpr152
Adipoq	Adipor1
Ecm1	Itgb4
Ctf1	Il6st_Lifr
Guca2b	Gucy2c
Col24a1	Itga10_Itgb1
Col24a1	Itga2_Itgb1
Col24a1	Itga1_Itgb1
Col24a1	Itga11_Itgb1
Msmp	Ccr2
Rspo4	Lgr5_Lrp5
Rspo4	Lgr4_Lrp5
Rspo4	Lgr5_Lrp6
Rspo4	Lgr4_Lrp6
Rspo4	Lgr6
Rspo1	Lgr5
Rspo1	Lrp6
Rspo1	Lgr4
Rspo1	Fzd8
Rspo1	Lgr6
Col28a1	Itga10_Itgb1
Col28a1	Itga2_Itgb1
Col28a1	Itga1_Itgb1
Col28a1	Itga11_Itgb1
Erfe	Lrp1
Nms	Adra2a
Nms	Mtnr1a
Nms	Grm7
Nms	Nmur2
Nms	Nmur1
Artn	Gfra3_Ret
Artn	Gfra1_Ret
Artn	Gfra2
Il31	Il31ra_Osmr
Gdf6	Acvr2a_Bmpr1b
Gdf6	Acvr2b_Bmpr1b
Gdf6	Bmpr1b_Bmpr2
Gdf6	Acvr2a_Bmpr1a
Gdf6	Acvr2b_Bmpr1a
Gdf6	Bmpr1a_Bmpr2
Igfl3	Igflr1
Enho	Gpr19
Alkal2	Ltk
Alkal2	Alk
Igfl3	Igflr1
Alkal1	Ltk
Alkal1	Alk
Rspo2	Lgr5
Rspo2	Rnf43
Rspo2	Lgr4
Rspo2	Lgr6
Sostdc1	Lrp4
Sostdc1	Lrp5
Sostdc1	Lrp6
Il34	Ptprz1
Uts2b	Sstr5
Uts2b	Uts2r
Adm2	Ramp1
Adm2	Ramp2
Adm2	Ramp3
Adm2	Adrb2
Adm2	Adrb3
Adm2	Tshr
Adm2	Vipr1
Adm2	Adcyap1r1
Adm2	Pth1r
Adm2	Calcrl
Adm2	Gpr20
Adm2	Gpr84
Gdf7	Acvr2a_Bmpr1b
Gdf7	Acvr2b_Bmpr1b
Gdf7	Bmpr1b_Bmpr2
Gdf7	Acvr2a_Bmpr1a
Gdf7	Acvr2b_Bmpr1a
Gdf7	Bmpr1a_Bmpr2
Tac4	Tacr2
Ifne	Ifnar1_Ifnar2
Ifne	Adgrv1
Gphb5	Tshr
Sftpa1	Tlr2
Col27a1	Itga10_Itgb1
Col27a1	Itga2_Itgb1
Col27a1	Itga1_Itgb1
Col27a1	Itga11_Itgb1
Lgi2	Adam23
Lgi4	Adam23
Lgi3	Adam23
Npw	Adra2a
Npw	Mtnr1a
Npw	Npbwr1
Npw	Grm7
Fndc5	Itgav
Fndc5	Itgb5
Draxin	Dcc
Pcsk9	Ldlr
Pcsk9	Vldlr
Pcsk9	Aplp2
Pcsk9	Lrp1
Col22a1	Itga10_Itgb1
Col22a1	Itga2_Itgb1
Col22a1	Itga1_Itgb1
Col22a1	Itga11_Itgb1
Npb	Adra2a
Npb	Mtnr1a
Npb	Npbwr1
Npb	Grm7
Il1f10	Il1rap_Il1rl2
Il1f10	Il1r1
Il1f10	Sigirr
Il1f10	Il1rapl2
Il1f10	Il1rapl1
Rln3	Ramp2
Rln3	Ramp3
Rln3	Adrb2
Rln3	Adra2a
Rln3	Adrb3
Rln3	Tshr
Rln3	Vipr1
Rln3	Adcyap1r1
Rln3	Mtnr1a
Rln3	Pth1r
Rln3	Grm7
Rln3	Rxfp4
Rln3	Rxfp2
Rln3	Gpr20
Rln3	Rxfp1
Rln3	Gpr84
Rln3	Rxfp3
Fam3c	Ffar3
Fam3c	Ffar2
Fam3c	Lamp1
Fam3c	Lifr
Fam3c	Pdcd1
Fam3c	Adgrg5
Ccl17	Ccr4
Ccl17	Ccr8
Ccl17	Ackr1
Fgf13	Egfr
Fgf13	Fgfr1
Fgf13	Fgfr2
Fgf13	Fgfr4
Fgf13	Fgfr3
Prg4	Tlr4
Prg4	Tlr2
Prg4	Cd44
Wnt2b	Fzd9_Lrp5
Wnt2b	Fzd9_Lrp6
Wnt2b	Fzd6_Lrp5
Wnt2b	Fzd6_Lrp6
Wnt2b	Fzd7_Lrp5
Wnt2b	Fzd7_Lrp6
Wnt2b	Fzd5_Lrp5
Wnt2b	Fzd2_Lrp5
Wnt2b	Fzd8_Lrp5
Wnt2b	Fzd3_Lrp5
Wnt2b	Fzd4_Lrp5
Wnt2b	Fzd10_Lrp5
Wnt2b	Fzd1_Lrp5
Wnt2b	Fzd5_Lrp6
Wnt2b	Fzd2_Lrp6
Wnt2b	Fzd8_Lrp6
Wnt2b	Fzd3_Lrp6
Wnt2b	Fzd4_Lrp6
Wnt2b	Fzd10_Lrp6
Wnt2b	Fzd1_Lrp6
Wnt8b	Fzd9_Lrp5
Wnt8b	Fzd9_Lrp6
Wnt8b	Fzd6_Lrp5
Wnt8b	Fzd6_Lrp6
Wnt8b	Fzd7_Lrp5
Wnt8b	Fzd7_Lrp6
Wnt8b	Fzd5_Lrp5
Wnt8b	Fzd2_Lrp5
Wnt8b	Fzd8_Lrp5
Wnt8b	Fzd3_Lrp5
Wnt8b	Fzd4_Lrp5
Wnt8b	Fzd10_Lrp5
Wnt8b	Fzd1_Lrp5
Wnt8b	Fzd5_Lrp6
Wnt8b	Fzd2_Lrp6
Wnt8b	Fzd8_Lrp6
Wnt8b	Fzd3_Lrp6
Wnt8b	Fzd4_Lrp6
Wnt8b	Fzd10_Lrp6
Wnt8b	Fzd1_Lrp6
Tslp	Crlf2_Il7r_Tslp
Tslp	Crlf2_Il7r
Leap2	Ghsr
Ucn3	Crhr1
Ucn3	Il10rb
Ucn3	Crhr2
Col26a1	Itga10_Itgb1
Col26a1	Itga2_Itgb1
Col26a1	Itga1_Itgb1
Col26a1	Itga11_Itgb1
Pth2	Ramp2
Pth2	Ramp3
Pth2	Adrb2
Pth2	Adrb3
Pth2	Tshr
Pth2	Vipr1
Pth2	Adcyap1r1
Pth2	Pth2r
Pth2	Pth1r
Pth2	Gpr20
Pth2	Gpr84
Rgma	Bmpr1b
Rgma	Bmpr2
Rgma	Neo1
Rgma	Tfr2
Fam3d	Fpr1
Bcan	Egfr
Bcan	Nrcam
Sfrp2	Fzd5
Lrig1	Egfr
Lrig1	Met
Tafa4	Fpr1
Scgb3a1	Notch3
Ucn2	Crhr1
Ucn2	Il10rb
Ucn2	Crhr2
Nodal	Acvr1b_Acvr2a_Cfc1
Nodal	Acvr1c_Acvr2a_Cfc1
Nodal	Acvr1b_Acvr2b_Cfc1
Nodal	Acvr1b_Acvr2a
Nodal	Acvr1c_Acvr2a
Nodal	Acvr1b_Acvr2b
Nodal	Acvr1c_Acvr2b
Gpha2	Tshr
Gpha2	Adgrv1
Gpha2	Epha6
Hbegf	Egfr_Erbb2
Hbegf	Erbb2_Erbb4
Hbegf	Cd44
Hbegf	Prlr
Amelx	Cd63
Amelx	Lamp1
Amelx	Lamp2
Amelx	Cd63
Amelx	Lamp1
Amelx	Lamp2
Nell2	Robo3
Ccl11	Ccr2
Ccl11	Cxcr3
Ccl11	Ccr3
Ccl11	Ccr5
Ccl11	Ccr9
Ccl11	Ackr1
Ccl11	Ackr4
Col12a1	Itga10_Itgb1
Col12a1	Itga2_Itgb1
Col12a1	Itga1_Itgb1
Col12a1	Itga11_Itgb1
Ccl19	Ccrl2
Ccl19	Adra2a
Ccl19	Ccr7
Ccl19	Ccr10
Ccl19	Mtnr1a
Ccl19	Cxcr3
Ccl19	Grm7
Ccl19	Ackr4
Nrtn	Gfra2_Ret
Nrtn	Gfra1_Ret
Rarres2	Ccrl2
Rarres2	Cmklr1
Myoc	Fzd7
Myoc	Fzd3
Myoc	Fzd4
Myoc	Fzd10
Sema3c	Nrp1_Nrp2_Plxnd1
Sema3c	Nrp1_Plxna2
Sema3c	Nrp1_Plxna3
Sema3c	Nrp1_Plxna4
Sema3c	Nrp1_Plxna1
Sema3c	Nrp2_Plxna2
Sema3c	Nrp2_Plxna3
Sema3c	Nrp2_Plxna4
Sema3c	Nrp2_Plxna1
Gdf15	Ret
Gdf15	Tgfbr2
Gdf15	Gfral
Sost	Lrp4
Sost	Lrp5
Sost	Lrp6
Spx	Galr2
Spx	Galr3
Spon2	Itgb1
Spon2	Itga5
Spon2	Itgam
Spon2	Itga4
C1qtnf1	Avpr2
Rspo3	Lgr5
Rspo3	Lrp6
Rspo3	Lgr4
Rspo3	Fzd8
Rspo3	Lgr6
Angptl4	Itgav_Itgb3
Angptl4	Itga5_Itgb1
Angptl4	Sdc3
Angptl4	Sdc1
Angptl4	Cdh5
Angptl4	Sdc2
Angptl4	Tie1
Angptl4	Cdh11
Pdgfd	Pdgfra_Pdgfrb
Wnt10a	Fzd9_Lrp5
Wnt10a	Fzd9_Lrp6
Wnt10a	Fzd6_Lrp5
Wnt10a	Fzd6_Lrp6
Wnt10a	Fzd7_Lrp5
Wnt10a	Fzd7_Lrp6
Wnt10a	Fzd5_Lrp5
Wnt10a	Fzd2_Lrp5
Wnt10a	Fzd8_Lrp5
Wnt10a	Fzd3_Lrp5
Wnt10a	Fzd4_Lrp5
Wnt10a	Fzd10_Lrp5
Wnt10a	Fzd1_Lrp5
Wnt10a	Fzd5_Lrp6
Wnt10a	Fzd2_Lrp6
Wnt10a	Fzd8_Lrp6
Wnt10a	Fzd3_Lrp6
Wnt10a	Fzd4_Lrp6
Wnt10a	Fzd10_Lrp6
Wnt10a	Fzd1_Lrp6
Fgf23	Fgfr1
Fgf23	Fgfr2
Fgf23	Fgfr4
Fgf23	Fgfr3
Wnt8a	Fzd9_Lrp5
Wnt8a	Fzd9_Lrp6
Wnt8a	Fzd6_Lrp5
Wnt8a	Fzd6_Lrp6
Wnt8a	Fzd7_Lrp5
Wnt8a	Fzd7_Lrp6
Wnt8a	Fzd5_Lrp5
Wnt8a	Fzd2_Lrp5
Wnt8a	Fzd8_Lrp5
Wnt8a	Fzd3_Lrp5
Wnt8a	Fzd4_Lrp5
Wnt8a	Fzd10_Lrp5
Wnt8a	Fzd1_Lrp5
Wnt8a	Fzd5_Lrp6
Wnt8a	Fzd2_Lrp6
Wnt8a	Fzd8_Lrp6
Wnt8a	Fzd3_Lrp6
Wnt8a	Fzd4_Lrp6
Wnt8a	Fzd10_Lrp6
Wnt8a	Fzd1_Lrp6
Wnt5b	Fzd9_Lrp5
Wnt5b	Fzd9_Lrp6
Wnt5b	Fzd6_Lrp5
Wnt5b	Fzd6_Lrp6
Wnt5b	Fzd7_Lrp5
Wnt5b	Fzd7_Lrp6
Wnt5b	Fzd5_Lrp5
Wnt5b	Fzd2_Lrp5
Wnt5b	Fzd8_Lrp5
Wnt5b	Fzd3_Lrp5
Wnt5b	Fzd10_Lrp5
Wnt5b	Fzd1_Lrp5
Wnt5b	Fzd5_Lrp6
Wnt5b	Fzd2_Lrp6
Wnt5b	Fzd8_Lrp6
Wnt5b	Fzd3_Lrp6
Wnt5b	Fzd10_Lrp6
Wnt5b	Fzd1_Lrp6
Wnt5b	Fzd4
Il25	Il17ra_Il17rb
Mmrn2	Clec14a
Mmrn2	Cd248
Mmrn2	Cd93
Ntn4	Dcc
Ntn4	Unc5a
Il21	Il21r_Il2rg
Prok2	Prokr2
Prok2	Prokr1
Crlf2	Crlf2_Il7r_Tslp
Spon1	App
Spon1	Lrp8
Npvf	Npffr1
Npvf	Npffr2
Fgf22	Fgfr1
Fgf22	Fgfr2
Fgf22	Fgfrl1
Retn	Gpr25
Retn	Tlr4
Ambn	Cd63
Fgf20	Fgfr1
Fgf20	Fgfr2
Fgf20	Fgfr4
Fgf20	Fgfr3
Il23a	Il12rb2
Gdf3	Acvr1b_Acvr2a_Cfc1
Gdf3	Acvr1c_Acvr2a_Cfc1
Gdf3	Acvr1b_Acvr2b_Cfc1
Gdf3	Acvr1b_Acvr2a
Gdf3	Acvr1c_Acvr2a
Gdf3	Acvr1b_Acvr2b
Gdf3	Acvr1c_Acvr2b
Ccl28	Adra2a
Ccl28	Ccr10
Ccl28	Mtnr1a
Ccl28	Ccr3
Ccl28	Grm7
Enam	Cd63
Cytl1	Ccr2
Ltbp3	Itgb5
Sema3g	Nrp2_Plxna2
Sema3g	Nrp2_Plxna3
Sema3g	Nrp2_Plxna4
Sema3g	Nrp2_Plxna1
Fgf21	Fgfr1
Fgf21	Fgfr2
Fgf21	Fgfr4
Fgf21	Fgfr3
Fgf21	Klb
Il20	Il20rb_Il22ra1
Il20	Il20ra_Il20rb
Il36b	Il1rap_Il1rl2
Il36g	Il1rap_Il1rl2
Il17c	Il17ra_Il17re
Ifnk	Ifnar1_Ifnar2
Col20a1	Itga10_Itgb1
Col20a1	Itga2_Itgb1
Col20a1	Itga1_Itgb1
Col20a1	Itga11_Itgb1
Cntn3	Ptprg
Galp	Galr2
Galp	Galr3
Galp	Galr1
Xcl1	Xcr1
Clcf1	Cntfr_Il6st_Lifr
Clcf1	Crlf1
Il36rn	Il1rap_Il1rl2
Dkk3	Kremen1
Dkk4	Lrp5
Dkk4	Lrp6
Dkk4	Kremen2
Dkk4	Kremen1
Dkk2	Lrp5
Dkk2	Lrp6
Dkk2	Kremen2
Dkk2	Kremen1
Ghrl	Gpr39
Ghrl	Tbxa2r
Ghrl	Ptger3
Ghrl	Ptgir
Ghrl	Ghrhr
Ghrl	Ghsr
Wnt16	Fzd9_Lrp5
Wnt16	Fzd9_Lrp6
Wnt16	Fzd6_Lrp5
Wnt16	Fzd6_Lrp6
Wnt16	Fzd7_Lrp5
Wnt16	Fzd7_Lrp6
Wnt16	Fzd5_Lrp5
Wnt16	Fzd2_Lrp5
Wnt16	Fzd8_Lrp5
Wnt16	Fzd3_Lrp5
Wnt16	Fzd4_Lrp5
Wnt16	Fzd10_Lrp5
Wnt16	Fzd1_Lrp5
