ligand	receptor
Wnt16	Fzd5_Lrp6
Wnt16	Fzd2_Lrp6
Wnt16	Fzd8_Lrp6
Wnt16	Fzd3_Lrp6
Wnt16	Fzd4_Lrp6
Wnt16	Fzd10_Lrp6
Wnt16	Fzd1_Lrp6
Il36a	Il1rap_Il1rl2
Il19	Il20ra_Il20rb
Tac2	Tacr2
Il17b	Il17rb
Pcsk1n	Gpr171
Gdf2	Acvr2a_Acvrl1
Gdf2	Acvr2b_Acvrl1
Gdf2	Acvrl1_Bmpr2
Gdf2	Acvr1
Angptl2	Itga5_Itgb1
Angptl2	Tlr4
Angptl2	Tie1
Apln	Adra2a
Apln	Aplnr
Apln	Mtnr1a
Apln	Grm7
Col17a1	Itga10_Itgb1
Col17a1	Itga2_Itgb1
Col17a1	Itga1_Itgb1
Col17a1	Itga11_Itgb1
Clec11a	Itga10
Clec11a	Itgb1
Clec11a	Itga11
Ccl26	Ccr2
Ccl26	Cx3cr1
Ccl26	Ccr3
Ccl26	Ccr5
Angpt4	Tie1
Angpt4	Tek
Angptl3	Itgav_Itgb3
Angptl3	Itga5
Insl5	Adra2a
Insl5	Mtnr1a
Insl5	Grm7
Insl5	Rxfp4
Insl5	Rxfp2
Insl5	Rxfp1
Insl5	Rxfp3
Wif1	Ryk
Wnt6	Fzd9_Lrp5
Wnt6	Fzd9_Lrp6
Wnt6	Fzd6_Lrp5
Wnt6	Fzd6_Lrp6
Wnt6	Fzd7_Lrp5
Wnt6	Fzd7_Lrp6
Wnt6	Fzd5_Lrp5
Wnt6	Fzd2_Lrp5
Wnt6	Fzd8_Lrp5
Wnt6	Fzd3_Lrp5
Wnt6	Fzd4_Lrp5
Wnt6	Fzd10_Lrp5
Wnt6	Fzd1_Lrp5
Wnt6	Fzd5_Lrp6
Wnt6	Fzd2_Lrp6
Wnt6	Fzd8_Lrp6
Wnt6	Fzd3_Lrp6
Wnt6	Fzd4_Lrp6
Wnt6	Fzd10_Lrp6
Wnt6	Fzd1_Lrp6
Cd70	Cd27
Efna2	Epha2
Efna3	Epha3
Efna2	Epha7
Efna3	Epha7
Efna2	Epha8
Efna3	Epha8
Efna2	Epha5
Efna3	Epha5
Efna3	Epha4
Efna2	Epha4
Efna3	Epha2
Ccl11	Ackr2
Ccl11	Ackr2
Ccl3	Ackr2
Ccl4	Ackr2
Ccl5	Ackr2
Efna2	Epha3
Efna2	Epha1
Ccl22	Dpp4
Wnt5a	Fzd1
Ccl11	Dpp4
Cxcl10	Dpp4
Cxcl11	Dpp4
Efna3	Epha1
Cxcl9	Dpp4
Cxcl12	Dpp4
Cxcl16	Cxcr6
Tnfsf10	Tnfrsf10b
Calca	Calcr
C3	C3ar1
Tnfsf8	Tnfrsf8
Tnfsf4	Tnfrsf4
Plau	Plaur
C3	Cr2
Ccl17	Ackr2
Ccl3	Pitpnm3
Ccl22	Ackr2
Ccl24	Ackr2
Cd72	Cd5
Cntf	Il6st_Lifr
Cntf	Cntfr_Il6st
Hmgb1	Havcr2
Il16	Cd9
Lgals1	Cd69
Sema4d	Cd72
Txlna	Stx3
Txlna	Stx4a
Txlna	Stx1a
Col8a1	Itga1_Itgb1
Col7a1	Itga1_Itgb1
Col5a3	Itga1_Itgb1
Col5a2	Itga1_Itgb1
Col5a1	Itga1_Itgb1
Col3a1	Itga1_Itgb1
Col18a1	Itga1_Itgb1
Col14a1	Itga1_Itgb1
Col11a1	Itga1_Itgb1
Col11a1	Itga2_Itgb1
Col14a1	Itga2_Itgb1
Col18a1	Itga2_Itgb1
Col3a1	Itga2_Itgb1
Col5a1	Itga2_Itgb1
Col5a2	Itga2_Itgb1
Col5a3	Itga2_Itgb1
Col7a1	Itga2_Itgb1
Col8a1	Itga2_Itgb1
Col11a1	Itga10_Itgb1
Col14a1	Itga10_Itgb1
Col18a1	Itga10_Itgb1
Col3a1	Itga10_Itgb1
Col5a1	Itga10_Itgb1
Col5a2	Itga10_Itgb1
Col5a3	Itga10_Itgb1
Col7a1	Itga10_Itgb1
Col8a1	Itga10_Itgb1
Col11a1	Itga11_Itgb1
Col14a1	Itga11_Itgb1
Col18a1	Itga11_Itgb1
Col3a1	Itga11_Itgb1
Col5a1	Itga11_Itgb1
Col5a2	Itga11_Itgb1
Col5a3	Itga11_Itgb1
Col7a1	Itga11_Itgb1
Col8a1	Itga11_Itgb1
Cd24a	Siglecg
Clec4g	Lag3
Gnai2	Mtnr1a
Gnrh1	Gnrhr
Shh	Hhip
Shh	Gas1
Psen1	Ncstn
Efna2	Epha6
Efna3	Epha6
Dhh	Hhip
Ihh	Hhip
Afdn	Ephb3
Gnai2	Ccr5
Adm	Calcr
Adm2	Calcr
Iapp	Calcr
Calcb	Calcr
Pros1	Axl
Hc	C5ar1
Rps19	C5ar1
Hc	C5ar2
Rarres2	Cmklr2
Pomc	Oprd1
Pdyn	Oprd1
Penk	Oprd1
Psap	Gpr37
Psap	Gpr37l1
Tac1	Tacr1
Tac2	Tacr1
Tac1	Tacr3
Tac2	Tacr3
Arf1	Pld2
Pros1	Tyro3
Gnas	Adrb2
Fga	Itgb1
Afdn	Epha7
Afdn	Ephb2
Afdn	Ephb6
Rspo1	Znrf3
Liph	Lpar2
Fgf13	Scn5a
Fgf13	Scn8a
Ntng2	Lrrc4
Rspo3	Sdc4
Rtn4	Lingo1
Cntn6	Notch1
Ntng1	Lrrc4c
Gnas	Gcgr
Gnai2	Adcy1
Fga	Itgax
Gpi1	Amfr
Cd38	Pecam1
Serpinc1	Lrp1
Gnas	Tshr
Mfng	Notch1
Mfng	Notch2
Adam12	Sdc4
F2	F2rl2
F2	F2r
F2	F2rl1
F2	F2rl3
Ren1	Atp6ap2
Apoe	Sorl1
Tfpi	Vldlr
Edn3	Kel
Omg	Lingo1
Gnas	Avpr2
a	Atrn
a	Mc1r
Psen1	Notch1
Fstl1	Dip2a
Gnas	Ptgdr
Hras	Insr
Hras	Cav1
Arf1	Insr
Grn	Sort1
F9	Lrp1
Timp1	Cd63
Sfrp1	Fzd2
Sfrp1	Fzd6
Plat	Lrp1
Tgfb1	Eng
Hgf	St14
Serpine1	Lrp2
Serpine1	Lrp1
Efnb3	Rhbdl2
Hbegf	Cd9
Ltf	Lrp1
Hrg	Fcgr1
Tfpi	Lrp1
Proc	Thbd
Tgfb3	Eng
Inhba	Eng
Efnb2	Rhbdl2
C3	Itgam
C3	Cd19
C3	Cd46
C3	C5ar2
C3	Itgax
C3	Cr1l
Vasp	Cxcr2
Slurp1	Chrna7
Omg	Rtn4rl1
Aanat	Mtnr1b
Aanat	Mtnr1a
Crp	Olr1
Nts	Sort1
Mmp7	Cd44
Mmp7	Cd151
Mmp7	Erbb4
Thbs1	Sdc4
Timp2	Itgb1
Fgf2	Sdc4
F13a1	Itga4
F13a1	Itgb1
Timp3	Agtr2
Igfbp4	Fzd8
Rspo2	Znrf3
Bmp6	Hjv
Scgb3a1	Marco
Shank1	Sstr2
Shank1	Adgrl1
Bmp10	Eng
Liph	Lpar1
Liph	Lpar4
Scgb3a2	Marco
Col14a1	Cd44
Il16	Kcnj15
Il16	Kcnj10
Col3a1	Ddr2
Col3a1	Mag
Col3a1	Ddr1
Cxcl10	Sdc4
Fgb	Itgam
Fgb	Itgb1
Fgb	Tlr4
Fga	Itgam
Fga	Itgb3
Fga	Tlr4
Has2	Hmmr
Has2	Cd44
Rgmb	Neo1
F2	Thbd
Ccl19	Ackr2
Lpl	Gpihbp1
Lpl	Sdc1
Lpl	Vldlr
Gnai2	Lpar3
Gnai2	Ednra
Gnai2	Adora1
Gnai2	C5ar1
Gnai2	Adra2b
Gnai2	F2r
Gnai2	Fpr1
Gnai2	Oprm1
Gnai2	Cav1
Gnai2	Tbxa2r
Gnai2	Cxcr2
Gnai2	Tshr
Gnai2	Agtr2
Gnai2	Cnr1
Fbn1	Itgb3
Fbn1	Itgb1
Psen1	Notch4
Bgn	Tlr4
Cthrc1	Fzd5
Cthrc1	Fzd6
Cthrc1	Fzd3
Fgg	Itgb1
Fgg	Tlr4
Rtn4	Tnfrsf19
Col9a3	Mag
Slpi	Plscr4
Hmgb1	Sdc1
Hmgb1	Thbd
Fn1	Mag
Col18a1	Gpc4
Col9a1	Mag
Gip	Dpp4
F8	Ldlr
Ccl28	Ackr2
Tgm2	Itgb1
Tgm2	Itgb3
Tgm2	Sdc4
Tgm2	Adgrg1
Cntf	Il6ra
Tgfb2	Eng
Efna3	Ephb1
Ngf	Sorcs3
Col11a1	Ddr1
Gnas	Crhr1
Rbp4	Stra6
Cel	Cxcr4
Mmp9	Cd44
Mmp9	Ephb2
Col9a2	Mag
Col5a2	Ddr1
Anxa1	Dysf
Agrn	Atp1a3
Col2a1	Mag
Ccl25	Ackr2
Tctn1	Tmem67
C4b	C5ar2
Lrpap1	Ldlr
Timp2	Itga3
Rtn4	Rtn4r
Omg	Rtn4r
Ltb	Tnfrsf1a
Pyy	Fap
Npy	Fap
Proc	Procr
Plg	Plgrkt
Hbegf	Cd82
Gnai2	Oprd1
Serpine2	Lrp1
Mmp13	Lrp1
Mmp9	Lrp1
Plau	Lrp1
Lrpap1	Lrp1
C3	Lrp1
C1qb	Lrp1
F8	Lrp1
Lpl	Lrp1
Lipc	Lrp1
Psap	Lrp1
a	Mc3r
Sftpa1	Cd93
Mbl2	Cd93
C1qa	Cd93
Pdgfb	Art1
Guca2b	Gucy2e
Arf1	Chrm3
Ngf	Sort1
Lrpap1	Sort1
Bdnf	Sort1
Psen1	Notch2
Gnai2	Mtnr1b
Fn1	Nt5e
Bgn	Tlr2
Lrpap1	Sorl1
Cp	Slc40a1
Igfbp4	Lrp6
F2	Itga2b
Fgg	Itga2b
Fga	Itga2b
Fgb	Itga2b
Il16	Grin2d
Psen1	Notch3
Gpc3	Cd81
Serping1	Selp
Cd24a	Selp
Plau	Lrp2
Lrpap1	Lrp2
Alb	Lrp2
Lpl	Lrp2
Lcn2	Lrp2
Timp3	Kdr
Col18a1	Kdr
Col18a1	Gpc1
Rtn4	Cntnap1
F13a1	Itga9
Gpc3	Igf1r
Gnai2	Igf1r
Gnai2	Egfr
Spink1	Egfr
Lin7c	Htr2c
Plau	St14
Gnai2	Adra2a
Matn1	Itga1
Pla2g10	Pla2r1
Fgg	Itga5
Fga	Itga5
Fgb	Itga5
Fbn1	Itga5
Col18a1	Itga5
Gnai2	Lhcgr
Gnas	Lhcgr
Pros1	Mertk
Ltbp1	Itgb5
Fat4	Dchs1
a	Mc4r
C4b	C3ar1
Tac4	Tacr3
Tac4	Tacr1
Lrpap1	Lrp8
Ahsg	Insr
F2	Gp9
Gnai2	P2ry12
a	Mc5r
Gnas	Vipr1
Rtn4	Rtn4rl1
Ptgs2	Ptgdr2
a	Mc2r
F10	F3
F7	F3
Bmp5	Hjv
Bmp2	Hjv
Ptgs2	Cav1
Mmp12	Plaur
Col5a1	Sdc3
F8	Asgr2
Edn2	Kel
Edn1	Kel
Plau	Igf2r
C4b	Cr1l
Ltb	Cd40
Ntf5	Bex3
Mdk	Sdc4
Ccl5	Sdc4
Bmp7	Eng
Gdf2	Eng
Bmp2	Eng
Pltp	Abca1
Mepe	Phex
Lrpap1	Vldlr
Vim	Cd44
Nampt	Insr
Adgrb1	Rtn4rl1
Adgrb1	Rtn4rl2
Bmp2	Rgmb
Bmp4	Cfc1
Bmp4	Rgmb
Bmp7	Hjv
Bsg	Slc16a1
Bsg	Slc16a7
C3	Nrp1
C4b	Nrp1
Cadm3	Cadm1
Crtam	Cadm1
Cadm1	Crtam
Nectin3	Cadm1
Ccn1	Sdc4
Cd52	Siglecg
L1cam	Cd9
Col18a1	Ptprs
Col5a3	Sdc3
Cthrc1	Ror2
Dnajb11	Prtg
Epo	Crlf3
Inhbb	Cfc1
Inhbb	Cfc1
Lgi1	Adam22
Lgi2	Adam22
Lgi3	Adam22
Lgi3	Flot1
Lgi3	Stx1a
Lgi4	Adam22
Ltf	Lrp11
Ly86	Cd180
Matn1	Itgb1
Myl9	Cd69
Myoc	Fzd1
Omg	Tnfrsf1b
Pdcd1lg2	Rgmb
Proc	Tek
Ptdss1	Jmjd6
Ptdss1	Scarb1
Rtn4	S1pr2
Serpinf1	Plxdc1
Serping1	Lrp1
Sertad1	Ar
Tor2a	Atp5f1b
Zp3	Chrna7
Calm1	Trpc3
S100a10	Trpv6
Fadd	Fas
Fadd	Tradd
Mfap5	Notch1
Calm1	Pde1a
Calm3	Pde1a
Calm1	Pde1b
Calm3	Pde1b
Calm1	Pde1c
Calm3	Pde1c
Gnas	Adcy1
Calm3	Grm7
Calm1	Grm7
Irak4	Tlr4
Megf10	Abca1
Tln1	Itgb3
Tln1	Itgb5
C1qb	C1qbp
Hmgb1	Ager
Gnas	Adrb3
Apoa1	Abca1
Calm3	Egfr
Calm1	Insr
Calm3	Insr
Hmgb1	Tlr4
Gnas	Htr6
Apob	Mttp
Itgb3bp	Itgb5
Itgb3bp	Itgb3
Hebp1	Adra2a
Hebp1	Mtnr1a
Hebp1	Grm7
Vcl	Itgb5
Vcl	Alk
Efna2	Epha10
Tcn2	Lrp2
Tcn2	Cnr1
Timp1	Fgfr2
Mmp2	Pecam1
Mmp2	Ccr2
Mmp2	Fgfr1
Plat	Itgam
Tgfb1	Cav1
Nampt	Adora2a
Serpine1	Plaur
Serpine1	Itgb5
Hc	Adra2a
Hc	Mtnr1a
Hc	Grm7
Selplg	Esam
Fgf6	Sdc4
Gnb3	Tgfbr1
Gnb3	Gabbr2
Hrg	Erbb2
Hrg	Erbb3
Tfpi	Sdc4
Tfpi	F3
Apob	Calcr
Proc	Itgam
Fgf23	Phex
Tnfsf10	Ripk1
Gstm7	Ryr2
Lypd3	Agr2
Bmp4	Hjv
Pspn	Gfra3
Tnfsf9	Traf2
Cd70	Tnfrsf13b
C3	Mtnr1a
C3	Grm7
C3	Adra2a
C3	Cd81
Tph1	Htr7
Tph1	Htr1a
Tph1	Htr1f
Tph1	Htr1d
Tph1	Htr2c
Tph1	Htr4
Tph1	Htr6
Tph1	Htr1b
Tph1	Htr2a
Tph1	Htr2b
Tph1	Htr5a
Lman1	Mcfd2
Apoe	Chrna4
Apoe	Abca1
Ncan	Cdh2
Ncan	Sdc3
Crp	Cr1l
Fst	Hjv
Cfc1	Acvr1b
Tgs1	Rxra
Mmp7	Sdc1
Adam10	Gpnmb
Adam10	Tspan5
Adam10	Cadm1
Adam10	Tspan14
Rims2	Abca1
Timp2	Cd44
Farp2	Plxna3
Farp2	Plxna1
Farp2	Plxna2
Farp2	Plxna4
Lamc2	Cd151
Wnt5a	Vangl2
Icam1	Cav1
Bst1	Cav1
Tnc	Sdc4
Egf	Cav1
Egf	Rhbdl2
Nptx2	Nptxr
Adam2	Cd9
Timp3	Cd44
Timp3	Met
Hdc	Hrh1
Hdc	Hrh2
Hdc	Hrh3
Cgn	Tgfbr2
Cgn	Ocln
Cgn	Tgfbr1
Lin7c	Abca1
Lin7c	Kcnj4
Il18	Il18bp
Qdpr	Dysf
Pigf	Flt1
Adamts3	Ccbe1
Pip	Aqp5
Calm3	Kcnq3
Calm3	Kcnq5
Calm3	Esr1
Calm3	Ryr2
Calm3	Gp6
Calm3	Scn10a
Calm3	Aqp6
Calm3	Grm5
Calm3	Ar
Calm3	Aqp1
Calm3	Scn4a
Tff2	Muc6
Tff1	Muc5ac
S100b	Ager
S100a1	Trpm3
S100a1	Ryr2
S100a1	Ryr1
S100a1	Tlr4
S100a1	Ager
Cxcl16	Grm7
Cxcl16	Mtnr1a
Fgf11	Fgfr2
Fgf11	Fgfr1
Arpc5	Adrb2
Arpc5	Ldlr
Camp	P2rx7
Spink1	Nrsn1
Fabp5	Rxra
Shh	Scube2
Arf6	Pld1
Arf6	Smap1
Angptl4	Gpihbp1
Fadd	Abca1
Il16	Grin2b
Il16	Kcnj4
Il16	Grin2a
Hspa4	Tlr4
Fgb	Itgb3
Fga	Plaur
Fga	Cdh5
Fga	Itgad
Nptx1	Nptxr
Rgmb	Hjv
Rgmb	Bmpr2
Rgmb	Bmpr1b
F2	Gp1bb
Lpl	Cd44
Efemp2	Aqp1
Efemp2	Plscr4
Gnai2	S1pr5
Gnai2	S1pr3
Gnai2	Unc5b
Gnai2	Ptpru
Gnai2	Cxcr3
Gnai2	Ednrb
Gnai2	Drd2
Gnai2	Adcy7
Agtrap	Rack1
Pkm	Cd44
Plg	Lpar1
Wnt11	Klrg2
Psen1	Cd44
Bgn	Tlr1
Izumo1	Cd9
Izumo1	Izumo1r
P4hb	Mttp
Fgg	Itgb3
Rtn4	Gjb2
Dmp1	Phex
Wnt7b	Tmed5
Icam4	Rhag
Hmgb1	Tlr9
Hmgb1	Cxcr4
Fn1	Dpp4
Col18a1	Itgb3
Calm1	Kcnq3
Calm1	Grm3
Calm1	Calcr
Calm1	Grm4
Calm1	Crhr1
Calm1	Hmmr
Calm1	Adcyap1r1
Calm1	Oprm1
Calm1	Ryr2
Calm1	Glp1r
Calm1	Scn10a
Calm1	Aqp6
Calm1	Ptpra
Calm1	Scn4a
Sema4f	Nrp2
Gad1	Grm4
Itih2	Fcer1a
Pyy	Dpp4
Tgm2	Itga4
Tgm2	Tbxa2r
Ptgs2	Alox5
Efna3	Ephb6
Efna3	Epha10
Ngf	Trpv1
Ngf	Maged1
Ngf	Bex3
Cd40lg	Traf3
Gnas	Glp1r
Gnas	Adcy7
Mmp9	Itgam
Mmp9	Reck
Sptan1	Ptpra
Plau	Itgam
Plau	Vldlr
Plau	Itgb1
F10	Itgam
Fgf14	Fgfr2
Fgf14	Fgfr1
Actr2	Ldlr
Lamb3	Cd151
Lgals9	Slc1a5
Pdcd1lg2	Pdcd2
Dscam	Dcc
Trf	Hfe
C1qtnf5	Mfrp
Hspa8	Ldlr
S100a10	Cftr
Shank2	Cftr
Plau	Itga3
Lgals8	Itga3
Col18a1	Itga3
Slpi	Cd4
Calm1	Sctr
Cd70	Tnfrsf17
Calml3	Kcnq1
Calm1	Kcnq1
Calm3	Kcnq1
Rtn4	Ngfr
Omg	Ngfr
Fam3c	Glra2
Rims1	Slc17a7
S100a8	Cd69
Cxcl13	Oprd1
Cfc1	Acvr2a
Gpc3	Lrp1
F12	Cd93
Gnai2	S1pr4
Tnfsf4	Traf2
Tnf	Traf2
Fadd	Traf2
Pcsk9	Sort1
Psap	Sort1
Ngf	Kidins220
Hdc	Hrh4
Lama1	Nt5e
Calm1	Mip
Lta	Ripk1
Cd14	Ripk1
Hmgb1	Tlr2
Ccn6	Sorl1
Mdk	Sorl1
a	Mgrn1
Calm1	Glp2r
Calm1	Trpc5
Calm3	Trpc5
Calm1	Kcnn4
Egf	Pld2
Arpc5	Lrp2
Gpc3	Lrp2
Cubn	Lrp2
Hspa8	Lrp2
Actr2	Lrp2
Serpinc1	Gpc1
Tgm2	Itga9
Agt	Enpep
Ncam1	Cacna1c
Rims1	Cacna1c
Calm1	Cacna1c
Calm3	Cacna1c
Scgb1a1	Lmbr1l
Camp	Igf1r
Mmp9	Ifnar1
Calm1	Pth2r
Nrtn	Gfra3
Gdnf	Gfra3
Camp	Egfr
Cntf	Egfr
Calm1	Htr2c
Ntng2	Lrrc4c
Spint1	St14
Sorbs1	Itga1
Fbn1	Itgb6
Sftpd	Ly96
Bgn	Ly96
Gnas	Adcy8
Gnai2	Adcy8
Calm3	Adcy8
Mdk	Gpc2
Plau	Itga5
Gnas	Adcy9
Gnai2	Adcy9
Plau	Itgb5
Sorbs1	Itgb5
Col18a1	Itgb5
Nucb2	Erap1
Rims1	Slc18a2
Hspa8	Adrb2
Actr2	Adrb2
Gnai2	S1pr1
Calm1	Grm5
Gnai2	Chrm1
Calm1	Gp6
Shbg	Gprc6a
Calm1	Aqp1
Pdx1	Slc2a2
Calm1	Vipr1
Calm1	Cnga2
Rgma	Hjv
Ccn1	Cav1
Wnt5b	Klrg2
Tnf	Tradd
Shbg	Slc37a1
Calm1	Kcnq5
Ptpn6	Clec12a
Calm1	Fas
Piga	Pigr
Mbl2	Calcr
Gsto1	Ryr1
Gcg	Dpp4
Nppb	Dpp4
Npy	Dpp4
Vip	Dpp4
Ada	Dpp4
Mmp9	Tlr9
Hras	Tlr9
C1qa	Cr1l
Gnas	Adora1
Ceacam16	Tectb
Bdnf	Bex3
Cxcl12	Sdc4
Lama1	Sdc4
Rims1	Slc18a3
Psap	Ar
Col8a2	Slc4a11
Sptbn2	Ptpra
Ncam1	Ptpra
Irak4	Tlr7
Apoc1	Vldlr
Ceacam16	Tecta
Tnf	Trpm2
Irak4	Tlr6
Fgf12	Fgfr1
Vegfc	Ccbe1
Fgf12	Fgfr2
Rgma	Hfe
Vegfa	Grin2b
Entpd1	Adora1
Entpd1	Adora2a
Entpd1	Adora2b
Alb	B2m_Fcgrt
Entpd1	Adora3
Gdf10	Bmpr2
Ptpn6	Egfr
Pdap1	Pdgfrb
Il16	Kcna3
Il16	Kcnd2
Serpina7	Slc16a2
Il16	Kcnd1
Il16	Grin2c
Adcyap1	Dpp4
Ccl26	Ackr2
Retn	Cap1
Nampt	Itga5_Itgb1
Angptl4	Sdc4
Mdk	Ncl
Ptn	Sdc4
Ptn	Ncl
C4b	Cr2
Slurp1	Chrnb2
Slurp1	Chrnb4
Slurp1	Chrna4
Slurp1	Chrna9
Slurp1	Chrna10
Slurp2	Chrnb2
Slurp2	Chrnb4
Slurp2	Chrna4
Slurp2	Chrna7
Gdf9	Fxyd6
Gdf9	Orai2
Lrp1b	Plaur
Psap	Celsr1
Ptn	Cdh10
Spp1	S1pr1
Il12b	Boc
Pcsk9	Cd81
Tac1	Dpp4
Plg	Trem2
Ltf	Treml2
F8	Lrp2
Ltf	Igdcc4
Pam	Dpp4
Fgf1	Itgb3
Tac1	Fap
Bdnf	Erbb2
Lep	Islr2
Nrg2	Mog
Cd40lg	Cd53
S100a4	Erbb3
Hapln1	Adgra2
Bmp5	Ptprd
Ado	Adora3
Tgfa	Ptprd
Sema3e	Nrp2
Fstl5	Ceacam19
Apoo	Il1rapl2
Amh	Grem2
Fstl5	Cd33
Pla2g2a	Erbb3
Btn1a1	Tarm1
Cnmd	Ptprd
Cntn4	Aplp1
Npy	Adrb1
Rspo3	Znrf3
Btn1a1	Negr1
Ltf	Tnfrsf11b
Sema3g	Gp6
Wfikkn2	Igdcc4
F12	Gp5
Fgf2	Itgb3
Cd40lg	Cd9
Bmp15	Tgfbr1
Wfikkn2	Prtg
Adm	Dclk3
Tnfsf9	Fcrl1
Angptl1	Itga1_Itgb1
Nr0b2	Fgfrl1
Grp	Fap
Vegfa	Cd44
Slitrk1	Tnfrsf11b
Timp3	Ddr1
Sparc	Fgfr1
Ngf	Erbb2
Slc6a8	Lifr
F11	Gp1bb
Sparc	Eng
Nrg1	Fcamr
Vwf	Itga4
Il23a	Cd33
Calca	Dclk3
Hapln1	Prtg
F11	Gp9
Lgals3	Eng
Nrg2	Nrp2
Hapln1	Treml2
Egf	Tnfrsf11b
Bmp4	Grem2
Nrg2	Lrrtm2
Rspo4	Znrf3
Cxcl10	Tlr4
Wfikkn2	Igdcc3
Pcsk9	Lrp8
F11	Gp5
Impg2	Prlr
Nrg2	Mpig6b
Vwf	Itgb1
Il21	Il4ra
Igfbpl1	Dcc
Igsf10	Mag
S100a10	Htr1b
Adm2	Dclk3
Fgb	Cdh5
Pcsk9	Cd36
Slitrk1	Enpep
Il5	Csf2ra
Fstl5	Cntn5
Kitl	Lrrn3
Il10	Cd27
Nppb	Fap
Vip	Adrb1
Rarres1	Nrp2
Bpi	Slamf9
Igsf1	Acvr1b
Frs3	Fgfr1
Socs2	Epor
Pi16	Mfap3l
Hapln1	Il1rl1
Gh	Epor
Il11	Il6ra
Vwf	Itga9
Tgfb1	Lpp
Adm	Ackr3
Hapln1	Igdcc4
Igsf10	Slamf9
Etv5	Erbb2
Ccl5	Dpp4
Calca	Ackr3
Gpc3	Flt1
Hapln1	Tnfrsf11b
Cntn6	Ptprg
Mbl2	C1qb
Ado	Adora2b
Scel	Eng
Apob	Trem2
Clcf1	Sorl1
Gpc3	Unc5c
F12	Gp9
Ghrh	Dpp4
Cntn4	Lvrn
Fstl5	Gp6
Ltf	Boc
Snx14	Htr6
Slit2	Plxna1
Ltf	Ager
Hapln1	Mpig6b
Wnt7b	Adgra2
Igfbp7	Mpig6b
Il10	Cd70
Ado	Adora1
F12	Gp1bb
Gdf11	Acvr1c
Gpc3	Vsig10l
Ifng	Mpl
Fstl5	Il6ra
Mbl2	Lrp1
Gcg	Fap
Hapln1	Ager
Il6	Musk
Ntn1	Dscam
Agrp	Mc1r
Il4	Il21r
Gip	Fap
Gpc3	Unc5d
Pla2g2a	Egfr
Nrg1	Siglece
Agrp	Sdc1
Pi16	Tnfrsf21
Igsf10	Milr1
Rspo1	Rnf43
Rspo4	Rnf43
Fstl5	Chl1
Wnt7a	Adgra2
Pomc	Mrap
Gpc3	Tnfrsf11b
Tnfsf10	Ccr6
Il23a	Gp6
Npy	Adrb2
Il6	Fcgr4
Lgals3	Mcam
Ltf	Il1rl1
Pam	Fap
Fstl5	Sdk2
Treml4	Siglece
F8	Lrp4
Rspo3	Rnf43
Scube2	Kdr
Dbp	Ackr1
Mfge8	Itgb5
C4b	Cd46
Bmp7	Acvr1b
Il3	Csf2ra
Il10	Ifnlr1
Ado	Adora2a
Entpd1	Tmigd3
Cntf	Crlf1
Nrg3	Egfr
Csf1	Csf2ra
Csf3	Csf2ra
Maml2	Notch2
Maml2	Notch3
Maml2	Notch1
Maml2	Notch4
Bmp6	Amhr2
Gdf11	Actr2
Inhba	Actr2
Bmp7	Actr2
Bmp2	Actr2
Bmp15	Actr2
Csf1	Csf3r
Il36g	Ifnar1
Il36g	Ifnar2
